FID_Oaklan,area,basezone,date_effct,time_effct,date_expir,time_expir,ordinance,overlay,perimeter,date_updat,time_updat,znlabel,Zoning
0,3688751.45868,OS (SU),1899-12-30,NA,1899-12-30,NA,NA,NA,8885.871269,2011-03-15,07:00:00.000,OS (SU),0
0,371078.049543,RM-3,1899-12-30,NA,1899-12-30,NA,NA,NA,3218.109081,2011-03-15,07:00:00.000,RM-3,2
0,198369.932907,OS (NP),1899-12-30,NA,1899-12-30,NA,NA,NA,3038.689147,2011-03-15,07:00:00.000,OS (NP),0
0,9559067.78833,OS (SU),1899-12-30,NA,1899-12-30,NA,NA,NA,13981.404014,2011-03-15,07:00:00.000,OS (SU),0
0,575182.467877,RU-4,1899-12-30,NA,1899-12-30,NA,NA,NA,5120.211522,2011-03-15,07:00:00.000,RU-4,2
0,204693.754818,OS (NP),1899-12-30,NA,1899-12-30,NA,NA,NA,1901.599654,2011-03-15,07:00:00.000,OS (NP),0
0,643594.724023,RM-1,1899-12-30,NA,1899-12-30,NA,NA,NA,3519.7262,2011-03-15,07:00:00.000,RM-1,2
0,104629.671065,RU-3,1899-12-30,NA,1899-12-30,NA,NA,NA,1535.463245,2011-03-15,07:00:00.000,RU-3,2
0,11416125.5701,RD-1,1899-12-30,NA,1899-12-30,NA,NA,NA,23416.180439,2011-03-15,07:00:00.000,RD-1,1
0,222575.109499,RU-4,1899-12-30,NA,1899-12-30,NA,NA,NA,2482.000457,2011-03-15,07:00:00.000,RU-4,2
0,3258839.69825,RD-1,1899-12-30,NA,1899-12-30,NA,NA,NA,7450.964998,2011-03-15,07:00:00.000,RD-1,1
0,11175541.4379,IG,1899-12-30,NA,1899-12-30,NA,12875,NA,20267.496913,2011-03-15,07:00:00.000,IG,0
0,136881.040168,CN-3,1899-12-30,NA,1899-12-30,NA,NA,NA,2004.952574,2011-03-15,07:00:00.000,CN-3,0
0,301995.804633,CIX-2,1899-12-30,NA,1899-12-30,NA,NA,NA,2612.361325,2011-03-15,07:00:00.000,CIX-2/S-19,0
0,162695.077354,CN-3,1899-12-30,NA,1899-12-30,NA,NA,NA,1912.665945,2011-03-15,07:00:00.000,CN-3,0
0,10007065.3877,RH-2,1899-12-30,NA,1899-12-30,NA,NA,NA,19557.381384,2011-03-15,07:00:00.000,RH-2,1
0,4410724.36679,RD-2,1899-12-30,NA,1899-12-30,NA,NA,NA,13516.666809,2011-03-15,07:00:00.000,RD-2,1
0,52931.000095,CN-4,1899-12-30,NA,1899-12-30,NA,NA,NA,1126.010188,2011-03-15,07:00:00.000,CN-4,0
0,126805.69125,OS (NP),1899-12-30,NA,1899-12-30,NA,NA,NA,1809.595999,2011-03-15,07:00:00.000,OS (NP),0
0,519517.544715,RM-2,1899-12-30,NA,1899-12-30,NA,NA,NA,3108.663535,2011-03-15,07:00:00.000,RM-2,2
0,45952.460017,RU-4,1899-12-30,NA,1899-12-30,NA,NA,NA,1010.256097,2011-03-15,07:00:00.000,RU-4,2
0,2773066.01059,RM-2,1899-12-30,NA,1899-12-30,NA,NA,NA,15324.079418,2011-03-15,07:00:00.000,RM-2,2
0,14606.216383,OS (AMP),1899-12-30,NA,1899-12-30,NA,NA,NA,483.441728,2011-03-15,07:00:00.000,OS (AMP),0
0,75609.737479,CN-4,1899-12-30,NA,1899-12-30,NA,NA,NA,1429.219762,2011-03-15,07:00:00.000,CN-4,0
0,68088.089379,CN-4,1899-12-30,NA,1899-12-30,NA,NA,NA,1209.793105,2011-03-15,07:00:00.000,CN-4,0
0,1729499.35114,S-15,1899-12-30,NA,1899-12-30,NA,NA,NA,10171.041386,2011-03-15,07:00:00.000,S-15,0
0,117412.605024,CN-3,1899-12-30,NA,1899-12-30,NA,NA,NA,1667.115545,2011-03-15,07:00:00.000,CN-3,0
0,67986.913857,CN-4,1899-12-30,NA,1899-12-30,NA,NA,NA,1045.646558,2011-03-15,07:00:00.000,CN-4,0
0,205207.13051,RM-4,1899-12-30,NA,1899-12-30,NA,NA,NA,2367.337642,2011-03-15,07:00:00.000,RM-4,2
0,37626.373622,OS(LP),1899-12-30,NA,1899-12-30,NA,NA,/S-4,1003.31787,2011-03-15,07:00:00.000,OS(LP)/S-4,0
0,4130920.57158,RD-1,1899-12-30,NA,1899-12-30,NA,NA,NA,12265.960071,2011-03-15,07:00:00.000,RD-1,1
0,160048.93731,CN-4,1899-12-30,NA,1899-12-30,NA,NA,NA,1739.041905,2011-03-15,07:00:00.000,CN-4,0
0,505320.691702,RD-2,1899-12-30,NA,1899-12-30,NA,NA,NA,4039.426628,2011-03-15,07:00:00.000,RD-2,1
0,116170.957868,RM-4,1899-12-30,NA,1899-12-30,NA,NA,NA,1999.341781,2011-03-15,07:00:00.000,RM-4,2
0,9598126.08589,OS (SU),1899-12-30,NA,1899-12-30,NA,NA,NA,14029.373812,2011-03-15,07:00:00.000,OS (SU),0
0,10712.18841,OS (AMP),1899-12-30,NA,1899-12-30,NA,NA,NA,427.706523,2011-03-15,07:00:00.000,OS (AMP),0
0,156945.389786,RM-3,1899-12-30,NA,1899-12-30,NA,NA,NA,2809.702154,2011-03-15,07:00:00.000,RM-3,2
0,19524021.1375,CR-1,1899-12-30,NA,1899-12-30,NA,NA,NA,34460.663729,2011-03-15,07:00:00.000,CR-1,0
0,403537.094406,RD-2,1899-12-30,NA,1899-12-30,NA,NA,NA,3222.492675,2011-03-15,07:00:00.000,RD-2,1
0,886194.621619,RD-1,1899-12-30,NA,1899-12-30,NA,NA,NA,6280.754898,2011-03-15,07:00:00.000,RD-1,1
0,585353.869487,CN-3,1899-12-30,NA,1899-12-30,NA,NA,NA,4847.451163,2011-03-15,07:00:00.000,CN-3,0
0,11597305.8131,OS (RCA),1899-12-30,NA,1899-12-30,NA,NA,NA,18524.39947,2011-03-15,07:00:00.000,OS (RCA),0
0,359388.504326,OS (AF),1899-12-30,NA,1899-12-30,NA,NA,NA,2666.737623,2011-03-15,07:00:00.000,OS (AF),0
0,678631.493697,OS (CP),1899-12-30,NA,1899-12-30,NA,NA,NA,3455.670286,2011-03-15,07:00:00.000,OS (CP),0
0,66051.806095,RU-5,1899-12-30,NA,1899-12-30,NA,NA,NA,1052.027384,2011-03-15,07:00:00.000,RU-5,2
0,25974.446836,CN-4,1899-12-30,NA,1899-12-30,NA,NA,NA,644.807361,2011-03-15,07:00:00.000,CN-4,0
0,899649.460226,RM-4,1899-12-30,NA,1899-12-30,NA,NA,NA,8141.219694,2011-03-15,07:00:00.000,RM-4,2
0,8465056.39896,RD-1,1899-12-30,NA,1899-12-30,NA,NA,NA,25628.954102,2011-03-15,07:00:00.000,RD-1,1
0,4008503.56014,CIX-2,1899-12-30,NA,1899-12-30,NA,12875,NA,15333.045265,2011-03-15,07:00:00.000,CIX-2,0
0,370165.702919,RM-2,1899-12-30,NA,1899-12-30,NA,NA,NA,2840.918789,2011-03-15,07:00:00.000,RM-2,2
0,3657432.912,OS (RCA),1899-12-30,NA,1899-12-30,NA,NA,NA,11599.522761,2011-03-15,07:00:00.000,OS (RCA),0
0,11614663.3896,RD-2,1899-12-30,NA,1899-12-30,NA,NA,NA,28415.243239,2011-03-15,07:00:00.000,RD-2,1
0,185846.538539,RM-4,1899-12-30,NA,1899-12-30,NA,NA,NA,2807.906831,2011-03-15,07:00:00.000,RM-4,2
0,2364632.52971,RH-3,1899-12-30,NA,1899-12-30,NA,NA,NA,14128.797914,2011-03-15,07:00:00.000,RH-3,1
0,1648589.17615,RM-4,1899-12-30,NA,1899-12-30,NA,NA,NA,12863.199997,2011-03-15,07:00:00.000,RM-4,2
0,1012860.42304,RU-4,1899-12-30,NA,1899-12-30,NA,NA,NA,7024.514298,2011-03-15,07:00:00.000,RU-4,2
0,3173418.51054,RD-2,1899-12-30,NA,1899-12-30,NA,NA,NA,10135.563332,2011-03-15,07:00:00.000,RD-2,1
0,41277553.4921,RD-1,1899-12-30,NA,1899-12-30,NA,NA,NA,67097.064086,2011-03-15,07:00:00.000,RD-1,1
0,857632.248043,RU-4,1899-12-30,NA,1899-12-30,NA,NA,NA,6596.17621,2011-03-15,07:00:00.000,RU-4,2
0,79946.952988,CN-3,1899-12-30,NA,1899-12-30,NA,NA,NA,1284.127594,2011-03-15,07:00:00.000,CN-3,0
0,870809.168984,RU-4,1899-12-30,NA,1899-12-30,NA,NA,NA,6014.957902,2011-03-15,07:00:00.000,RU-4,2
0,11009210.0006,IG,1899-12-30,NA,1899-12-30,NA,12875,NA,22461.323133,2011-03-15,07:00:00.000,IG,0
0,225161.90686,CN-3,1899-12-30,NA,1899-12-30,NA,NA,NA,3275.589375,2011-03-15,07:00:00.000,CN-3,0
0,52270.751439,OS (NP),1899-12-30,NA,1899-12-30,NA,NA,NA,1136.679323,2011-03-15,07:00:00.000,OS (NP),0
0,10719.788822,OS (LP),1899-12-30,NA,1899-12-30,NA,NA,NA,523.492731,2011-03-15,07:00:00.000,OS (LP),0
0,1734657.90528,CC-2,1899-12-30,NA,1899-12-30,NA,NA,NA,9294.215503,2011-03-15,07:00:00.000,CC-2,0
0,1391680.08501,RM-2,1899-12-30,NA,1899-12-30,NA,NA,NA,5195.930138,2011-03-15,07:00:00.000,RM-2,2
0,598012.90237,RU-2,1899-12-30,NA,1899-12-30,NA,NA,NA,4305.225811,2011-03-15,07:00:00.000,RU-2,2
0,23654.250686,RU-5,1899-12-30,NA,1899-12-30,NA,NA,NA,627.601378,2011-03-15,07:00:00.000,RU-5,2
0,312795.667047,RM-3,1899-12-30,NA,1899-12-30,NA,NA,NA,3059.271579,2011-03-15,07:00:00.000,RM-3,2
0,474907.800751,RM-1,1899-12-30,NA,1899-12-30,NA,NA,NA,3496.981661,2011-03-15,07:00:00.000,RM-1,2
0,152959.611488,OS (NP),1899-12-30,NA,1899-12-30,NA,NA,NA,1967.947841,2011-03-15,07:00:00.000,OS (NP),0
0,236914.350947,RU-3,1899-12-30,NA,1899-12-30,NA,NA,NA,2119.238409,2011-03-15,07:00:00.000,RU-3,2
0,1401426.99939,RU-4,1899-12-30,NA,1899-12-30,NA,NA,NA,11063.301312,2011-03-15,07:00:00.000,RU-4,2
0,1221355.03732,RM-1,1899-12-30,NA,1899-12-30,NA,NA,NA,4826.555203,2011-03-15,07:00:00.000,RM-1,2
0,253295.17013400001,CN-3,1899-12-30,NA,1899-12-30,NA,NA,NA,3265.313484,2011-03-15,07:00:00.000,CN-3,0
0,517787.277368,RH-2,1899-12-30,NA,1899-12-30,NA,NA,NA,3841.332745,2011-03-15,07:00:00.000,RH-2,1
0,992657.481968,S-15,1899-12-30,NA,1899-12-30,NA,NA,NA,5133.737206,2011-03-15,07:00:00.000,S-15,0
0,1763098.95357,RD-1,1899-12-30,NA,1899-12-30,NA,NA,NA,5829.069265,2011-03-15,07:00:00.000,RD-1,1
0,17558.230089,OS (LP),1899-12-30,NA,1899-12-30,NA,NA,NA,1117.260412,2011-03-15,07:00:00.000,OS (LP),0
0,240627.539543,RM-4,1899-12-30,NA,1899-12-30,NA,NA,NA,2458.781744,2011-03-15,07:00:00.000,RM-4,2
0,249752.141634,RM-1,1899-12-30,NA,1899-12-30,NA,NA,NA,2167.03665,2011-03-15,07:00:00.000,RM-1,2
0,116109.783993,RM-3,1899-12-30,NA,1899-12-30,NA,NA,NA,1999.432691,2011-03-15,07:00:00.000,RM-3,2
0,637770.376846,RM-2,1899-12-30,NA,1899-12-30,NA,NA,NA,3703.148199,2011-03-15,07:00:00.000,RM-2,2
0,769617.12631,CN-2,1899-12-30,NA,1899-12-30,NA,NA,NA,5760.758708,2011-03-15,07:00:00.000,CN-2,0
0,46527.422853,OS (LP),1899-12-30,NA,1899-12-30,NA,NA,NA,1550.863931,2011-03-15,07:00:00.000,OS (LP),0
0,2044058.09546,RM-3,1899-12-30,NA,1899-12-30,NA,NA,NA,6105.187402,2011-03-15,07:00:00.000,RM-3,2
0,4591594.60832,RM-2,1899-12-30,NA,1899-12-30,NA,NA,NA,13792.875879,2011-03-15,07:00:00.000,RM-2,2
0,51647.974474,RM-4,1899-12-30,NA,1899-12-30,NA,NA,/C,1122.238766,2011-03-15,07:00:00.000,RM-4/C,0
0,86140.437865,OS (NP),1899-12-30,NA,1899-12-30,NA,NA,NA,1378.045767,2011-03-15,07:00:00.000,OS (NP),0
0,73954.714732,OS (LP),1899-12-30,NA,1899-12-30,NA,NA,NA,2270.261248,2011-03-15,07:00:00.000,OS (LP),0
0,70721.046614,OS (NP),1899-12-30,NA,1899-12-30,NA,NA,NA,1064.759532,2011-03-15,07:00:00.000,OS (NP),0
0,1283815.5235,CC-2,1899-12-30,NA,1899-12-30,NA,NA,NA,6078.952206,2011-03-15,07:00:00.000,CC-2,0
0,73232.489682,RM-4,1899-12-30,NA,1899-12-30,NA,NA,/C,1183.005036,2011-03-15,07:00:00.000,RM-4/C,0
0,226287.023224,OS (CP),1899-12-30,NA,1899-12-30,NA,NA,NA,2090.807072,2011-03-15,07:00:00.000,OS (CP),0
0,785675.96157,RM-3,1899-12-30,NA,1899-12-30,NA,NA,NA,4086.34241,2011-03-15,07:00:00.000,RM-3,2
0,422827.48592,RU-2,1899-12-30,NA,1899-12-30,NA,NA,NA,4466.183436,2011-03-15,07:00:00.000,RU-2,2
0,49131.455193,OS (RCA),1899-12-30,NA,1899-12-30,NA,NA,NA,895.953781,2011-03-15,07:00:00.000,OS (RCA),0
0,1219407.40592,RM-2,1899-12-30,NA,1899-12-30,NA,NA,NA,8303.922309,2011-03-15,07:00:00.000,RM-2,2
0,79921.884045,CN-3,1899-12-30,NA,1899-12-30,NA,NA,NA,1259.512297,2011-03-15,07:00:00.000,CN-3,0
0,1491017.12676,RM-2,1899-12-30,NA,1899-12-30,NA,NA,NA,8192.768341,2011-03-15,07:00:00.000,RM-2,2
0,263758.106844,RM-3,1899-12-30,NA,1899-12-30,NA,NA,NA,3271.069619,2011-03-15,07:00:00.000,RM-3,2
0,1162261.16877,CN-3,1899-12-30,NA,1899-12-30,NA,NA,NA,8570.022264,2011-03-15,07:00:00.000,CN-3,0
0,324262.698783,OS (SU),1899-12-30,NA,1899-12-30,NA,NA,NA,3005.125701,2011-03-15,07:00:00.000,OS (SU),0
0,114425.027452,RM-3,1899-12-30,NA,1899-12-30,NA,NA,/C,1895.772182,2011-03-15,07:00:00.000,RM-3/C,0
0,11769889.9295,RD-1,1899-12-30,NA,1899-12-30,NA,NA,NA,17070.428073,2011-03-15,07:00:00.000,RD-1,1
0,1505439.3903,CC-1,1899-12-30,NA,1899-12-30,NA,NA,NA,5482.99421,2011-03-15,07:00:00.000,CC-1,0
0,41736.181603,RM-3,1899-12-30,NA,1899-12-30,NA,NA,/C,925.633221,2011-03-15,07:00:00.000,RM-3/C,0
0,117027.706406,OS (NP),1899-12-30,NA,1899-12-30,NA,NA,NA,1376.2921020000001,2011-03-15,07:00:00.000,OS (NP),0
0,187630.169599,OS (SU),1899-12-30,NA,1899-12-30,NA,NA,NA,2217.323021,2011-03-15,07:00:00.000,OS (SU),0
0,595761.521823,OS (SU),1899-12-30,NA,1899-12-30,NA,NA,NA,3232.177982,2011-03-15,07:00:00.000,OS (SU),0
0,685181.972912,RM-3,1899-12-30,NA,1899-12-30,NA,NA,NA,7875.379119,2011-03-15,07:00:00.000,RM-3,2
0,35284.570996,RM-4,1899-12-30,NA,1899-12-30,NA,NA,/C,929.974015,2011-03-15,07:00:00.000,RM-4/C,2
0,13443829.8363,OS (RCA),1899-12-30,NA,1899-12-30,NA,NA,NA,26688.409217,2011-03-15,07:00:00.000,OS (RCA),0
0,48611.597411,OS (PMP),1899-12-30,NA,1899-12-30,NA,NA,NA,1137.660284,2011-03-15,07:00:00.000,OS (PMP),0
0,150535.474294,OS (NP),1899-12-30,NA,1899-12-30,NA,NA,NA,1771.616779,2011-03-15,07:00:00.000,OS (NP),0
0,473590.00726,RM-3,1899-12-30,NA,1899-12-30,NA,NA,NA,3211.827091,2011-03-15,07:00:00.000,RM-3,2
0,98267.081243,OS (NP),1899-12-30,NA,1899-12-30,NA,NA,NA,1255.324318,2011-03-15,07:00:00.000,OS (NP),0
0,1066699.72783,CN-3,1899-12-30,NA,1899-12-30,NA,NA,NA,6788.923374,2011-03-15,07:00:00.000,CN-3,0
0,192318.277729,RM-4,1899-12-30,NA,1899-12-30,NA,NA,/C,2667.408152,2011-03-15,07:00:00.000,RM-4/C,0
0,34265.742598,CN-4,1899-12-30,NA,1899-12-30,NA,NA,NA,779.506054,2011-03-15,07:00:00.000,CN-4,0
0,462494.150179,OS (CP),1899-12-30,NA,1899-12-30,NA,NA,NA,2720.276908,2011-03-15,07:00:00.000,OS (CP),0
0,614341.634682,OS (RCA),1899-12-30,NA,1899-12-30,NA,NA,NA,5593.84907,2011-03-15,07:00:00.000,OS (RCA),0
0,341423.425013,OS (SU),1899-12-30,NA,1899-12-30,NA,NA,NA,2832.701123,2011-03-15,07:00:00.000,OS (SU),0
0,40479.032892,OS (LP),1899-12-30,NA,1899-12-30,NA,NA,/S-4,1278.464069,2011-03-15,07:00:00.000,OS (LP)/S-4,0
0,1998519.94138,OS (RCA),1899-12-30,NA,1899-12-30,NA,NA,NA,13228.576701,2011-03-15,07:00:00.000,OS (RCA),0
0,148520.996046,OS (AF),1899-12-30,NA,1899-12-30,NA,NA,NA,1522.839198,2011-03-15,07:00:00.000,OS (AF),0
0,5562762.25541,CIX-2,1899-12-30,NA,1899-12-30,NA,12875,NA,24578.394883,2011-03-15,07:00:00.000,CIX-2,0
0,42135.19433,CN-4,1899-12-30,NA,1899-12-30,NA,NA,NA,895.787235,2011-03-15,07:00:00.000,CN-4,0
0,170361.6628,OS (SU),1899-12-30,NA,1899-12-30,NA,NA,NA,1998.526775,2011-03-15,07:00:00.000,OS (SU),0
0,8911.937151,OS (AMP),1899-12-30,NA,1899-12-30,NA,NA,NA,378.254424,2011-03-15,07:00:00.000,OS (AMP),0
0,1124092.28759,CN-2,1899-12-30,NA,1899-12-30,NA,NA,NA,8726.180211,2011-03-15,07:00:00.000,CN-2,0
0,112084.092107,OS (RCA),1899-12-30,NA,1899-12-30,NA,NA,/S-4,1355.311255,2011-03-15,07:00:00.000,OS (RCA)/S-4,0
0,29543.129938,OS (AMP),1899-12-30,NA,1899-12-30,NA,NA,NA,845.144486,2011-03-15,07:00:00.000,OS (AMP),0
0,47182.205853,OS (LP),1899-12-30,NA,1899-12-30,NA,NA,/S-4,1178.330406,2011-03-15,07:00:00.000,OS (LP)/S-4,0
0,576042.610279,OS (RCA),1899-12-30,NA,1899-12-30,NA,NA,NA,4171.32676,2011-03-15,07:00:00.000,OS (RCA),0
0,41999.920166,OS (NP),1899-12-30,NA,1899-12-30,NA,NA,NA,937.656327,2011-03-15,07:00:00.000,OS (NP),0
0,86504.455501,OS (NP),1899-12-30,NA,1899-12-30,NA,NA,NA,1176.89417,2011-03-15,07:00:00.000,OS (NP),0
