OBJECTID,ZONECLASS,ZONEDESC,LASTUPDATE,LASTEDITOR,SUFFIX,OVERLAY_H,OVERLAY_SD,OVERLAY_OT,PRECPLAN,ZONELABEL,BASEELEV,HEIGHT,PRECISEPLA,ShapeSTAre,ShapeSTLen,Zoning
238,R3,R3,2016-12-05,Eric Anderson - CDD,2,NA,NA,NA,NA,R3-2,NA,NA,NA,499277.425781,2944.00351696,2
239,R3,R3,2016-12-05,Eric Anderson - CDD,1.5,NA,NA,NA,NA,R3-1.5,NA,NA,NA,578376.641602,4166.44788497,2
240,P,P,2019-12-11,Krisha Penollar - CDD,NA,NA,NA,NA,NA,P,NA,NA,NA,459272.911133,3313.30720412,2
241,R3,R3,2016-12-05,Eric Anderson - CDD,3,NA,NA,NA,NA,R3-3,NA,NA,NA,572984.072266,4555.27088428,2
242,R3,R3,2016-12-05,Eric Anderson - CDD,2,NA,NA,NA,NA,R3-2,NA,NA,NA,515618.371094,4185.07239435,2
243,CN,CN,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,CN,NA,NA,NA,83267.6132813,1168.06060473,NA
244,RMH,RMH,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,RMH,NA,NA,NA,549115.876953,3331.37667753,2
245,R3,R3,2016-12-05,Eric Anderson - CDD,1.5,NA,NA,NA,NA,R3-1.5,NA,NA,NA,220119.436523,1999.63522072,2
246,CO,CO,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,CO,NA,NA,NA,182118.245117,3445.22875754,NA
247,P,P,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,P(5),P(5),NA,NA,<a href='http://www.mountainview.gov/civica/filebank/blobdload.asp?BlobID=2756'>460 North Shoreline Boulevard</a>,251120.483398,2834.96145423,2
248,CN,CN,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,CN,NA,NA,NA,336339.02832,2450.34732843,NA
249,R3,R3,2016-12-05,Eric Anderson - CDD,1.5,NA,NA,NA,NA,R3-1.5,NA,NA,NA,431066.145508,2786.88225951,2
250,R2,R2,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,R2,NA,NA,NA,185140.935547,2091.81058734,2
251,R3,R3,2016-12-05,Eric Anderson - CDD,3,NA,NA,NA,NA,R3-3,NA,NA,NA,57498.3935547,1048.74423602,2
252,P,P,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,P,NA,NA,NA,306710.273438,2255.25129934,2
254,R3,R3,2016-12-05,Eric Anderson - CDD,1,NA,NA,NA,NA,R3-1,NA,NA,NA,473424.920898,2716.5647143,2
255,P,P,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,P(31),P(31),NA,NA,<a href='http://www.mountainview.gov/civica/filebank/blobdload.asp?BlobID=3797'>Mora - Ortega</a>,464918.068359,2741.47101445,2
256,CN,CN,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,CN,NA,NA,NA,22642.6044922,743.8071852315255,NA
257,R3,R3,2016-12-05,Eric Anderson - CDD,1.25,NA,NA,NA,NA,R3-1.25,NA,NA,NA,263099.970703,2219.50901225,2
258,P,P,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,P(14),P(14),NA,NA,<a href='http://www.mountainview.gov/civica/filebank/blobdload.asp?BlobID=2763'>2100 California Street</a>,147537.216797,1831.8064099,1
259,R3,R3,2016-12-05,Eric Anderson - CDD,1.5,NA,NA,NA,NA,R3-1.5,NA,NA,NA,251362.082031,2146.21018471,2
260,R1,R1,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,R1,NA,NA,NA,912357.00293,3988.26229421,1
261,R1,R1,2016-12-05,Eric Anderson - CDD,NA,NA,sd,NA,NA,R1sd,NA,NA,NA,23482.3320313,970.3151925437353,1
262,R3,R3,2016-12-05,Eric Anderson - CDD,2,NA,NA,NA,NA,R3-2,NA,NA,NA,160830.952148,1868.14670059,2
263,R3,R3,2016-12-05,Eric Anderson - CDD,2.5,h1s,NA,NA,NA,R3-2.5h1s,NA,NA,NA,62378.5039063,1440.26450685,2
265,PF,PF,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,PF,NA,NA,NA,54912.0078125,1045.80485686,NA
266,R1,R1,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,R1,NA,NA,NA,161668.957031,1806.97457942,1
267,R2,R2,2016-12-05,Eric Anderson - CDD,9,NA,NA,NA,NA,R2-9,NA,NA,NA,305656.979492,2876.70511126,2
268,R2,R2,2016-12-05,Eric Anderson - CDD,9,NA,NA,NA,NA,R2-9,NA,NA,NA,24722.4873047,732.5623411406018,2
269,R3,R3,2016-12-05,Eric Anderson - CDD,3,NA,NA,NA,NA,R3-3,NA,NA,NA,918349.386719,5552.19218708,2
270,R1,R1,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,R1,NA,NA,NA,106022.193359,1553.20119918,1
271,R3,R3,2016-12-05,Eric Anderson - CDD,2,NA,NA,NA,NA,R3-2,NA,NA,NA,236416.021484,2479.99162098,2
272,R3,R3,2016-12-05,Eric Anderson - CDD,1.5,NA,NA,NA,NA,R3-1.5,NA,NA,NA,771266.510742,4168.29381362,2
273,R3,R3,2016-12-05,Eric Anderson - CDD,3,NA,NA,NA,NA,R3-3,NA,NA,NA,198419.571289,2623.32388936,2
274,R3,R3,2016-12-05,Eric Anderson - CDD,2,NA,NA,NA,NA,R3-2,NA,NA,NA,193931.223633,2645.5620217,2
275,R2,R2,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,R2,NA,NA,NA,123860.380859,1852.11331904,2
276,R2,R2,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,R2,NA,NA,NA,68459.9492188,1038.678309,2
277,R2,R2,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,R2,NA,NA,NA,72252.6855469,1155.64310921,2
278,R1,R1,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,R1,NA,NA,NA,187080.099609,2666.7316617,1
279,P,P,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,P(13),P(13),NA,NA,<a href='http://www.mountainview.gov/civica/filebank/blobdload.asp?BlobID=2781'>California - Ortega</a>,392013.070313,2705.32016307,2
280,PF,PF,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,PF,NA,NA,NA,74100.0253906,1148.72911355,NA
281,R3,R3,2016-12-05,Eric Anderson - CDD,1,NA,NA,NA,NA,R3-1,NA,NA,NA,283122.774414,2381.87086151,2
282,R2,R2,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,R2,NA,NA,NA,131294.316406,1980.28284553,2
283,R3,R3,2016-12-05,Eric Anderson - CDD,1,NA,NA,NA,NA,R3-1,NA,NA,NA,19427.1318359,557.6626909235199,2
284,R2,R2,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,R2,NA,NA,NA,36367.4560547,800.5703163925305,2
285,R3,R3,2016-12-05,Eric Anderson - CDD,1,NA,NA,NA,NA,R3-1,NA,NA,NA,432942.475586,4718.90860978,2
287,P,P,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,P,NA,NA,NA,114053.424805,1375.34873588,2
288,R3,R3,2016-12-05,Eric Anderson - CDD,1,NA,NA,NA,NA,R3-1,NA,NA,NA,1636471.25781,7661.30973032,2
289,PF,PF,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,PF,NA,NA,NA,433925.671875,2965.56108712,NA
290,R3,R3,2016-12-05,Eric Anderson - CDD,1,NA,NA,NA,NA,R3-1,NA,NA,NA,261434.02832,2454.85617841,2
291,R1,R1,2019-12-11,Krisha Penollar - CDD,NA,NA,NA,NA,NA,R1,NA,NA,NA,195471.439453,2505.25376345,1
292,R3,R3,2016-12-05,Eric Anderson - CDD,2,NA,NA,NA,NA,R3-2,NA,NA,NA,1635573.32422,6895.13861652,2
293,R2,R2,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,R2,NA,NA,NA,138846.037109,1557.75297747,2
294,R2,R2,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,R2,NA,NA,NA,199091.917969,2548.23626855,2
295,R1,R1,2016-12-05,Eric Anderson - CDD,NA,NA,NA,NA,NA,R1,NA,NA,NA,187020.000977,2506.03126934,1
