id,general_pl,Zoning
628,Low Density Multi-Family,2
629,Low Density Multi-Family,2
630,Low Density Multi-Family,2
631,Low Density Multi-Family,2
632,Low Density Multi-Family,2
633,Low Density Multi-Family,2
634,Low Density Multi-Family,2
635,Low Density Multi-Family,2
636,Low Density Multi-Family,2
637,Low Density Multi-Family,2
638,Low Density Multi-Family,2
639,Low Density Multi-Family,2
640,Low Density Multi-Family,2
641,Low Density Multi-Family,2
642,Low Density Multi-Family,2
643,Low Density Multi-Family,2
644,Low Density Multi-Family,2
645,Low Density Multi-Family,2
646,Low Density Multi-Family,2
647,Low Density Multi-Family,2
648,Low Density Multi-Family,2
649,Low Density Multi-Family,2
650,Low Density Multi-Family,2
651,Major Institution/ Special Facility,NA
652,Major Institution/ Special Facility,NA
653,Major Institution/ Special Facility,NA
654,Manufacturing,NA
655,Manufacturing,NA
656,Manufacturing,NA
657,Manufacturing,NA
658,Manufacturing,NA
659,Manufacturing,NA
660,Manufacturing,NA
661,Medium Density Multi-Family,2
662,Medium Density Multi-Family,2
663,Medium Density Multi-Family,2
664,Medium Density Multi-Family,2
665,Medium Density Multi-Family,2
666,Medium Density Multi-Family,2
667,Medium Density Multi-Family,2
668,Medium Density Multi-Family,2
669,Medium Density Multi-Family,2
670,Medium Density Multi-Family,2
671,Medium Density Multi-Family,2
672,Medium Density Multi-Family,2
673,Medium Density Multi-Family,2
674,Medium Density Multi-Family,2
675,Medium Density Multi-Family,2
676,Medium Density Multi-Family,2
677,Medium Density Multi-Family,2
678,Medium Density Multi-Family,2
679,Medium Density Multi-Family,2
680,Medium Density Multi-Family,2
681,Medium Density Multi-Family,2
682,Medium Density Multi-Family,2
683,Medium Density Multi-Family,2
684,Medium Density Multi-Family,2
685,Medium Density Multi-Family,2
686,Medium Density Multi-Family,2
687,Medium Density Multi-Family,2
688,Medium Density Multi-Family,2
689,Medium Density Multi-Family,2
690,Medium Density Multi-Family,2
691,Medium Density Multi-Family,2
692,Medium Density Multi-Family,2
693,Medium Density Multi-Family,2
694,Medium Density Multi-Family,2
695,Medium Density Multi-Family,2
696,Medium Density Multi-Family,2
698,Medium Density Multi-Family,2
699,Medium Density Multi-Family,2
700,Medium Density Multi-Family,2
701,Medium Density Multi-Family,2
702,Medium Density Multi-Family,2
703,Medium Density Multi-Family,2
704,Medium Density Multi-Family,2
705,Medium Density Multi-Family,2
706,Medium Density Multi-Family,2
707,Medium Density Multi-Family,2
708,Medium Density Multi-Family,2
709,Medium Density Multi-Family,2
710,Medium Density Multi-Family,2
711,Medium Density Multi-Family,2
712,Medium Density Multi-Family,2
713,Medium Density Multi-Family,2
714,Medium Density Multi-Family,2
715,Medium Density Multi-Family,2
716,Medium Density Multi-Family,2
717,Medium Density Multi-Family,2
718,Medium Density Multi-Family,2
719,Medium Density Multi-Family,2
720,Medium Density Multi-Family,2
721,Medium Density Multi-Family,2
722,Medium Density Multi-Family,2
723,Medium Density Multi-Family,2
724,Medium Density Multi-Family,2
725,Medium Density Multi-Family,2
726,Medium Density Multi-Family,2
727,Medium Density Multi-Family,2
728,Medium Density Multi-Family,2
729,Medium Density Multi-Family,2
730,Medium Density Multi-Family,2
731,Medium Density Multi-Family,2
732,Medium Density Multi-Family,2
733,Medium Density Multi-Family,2
734,Medium Density Multi-Family,2
735,Medium Density Multi-Family,2
736,Medium Density Multi-Family,2
737,Medium Density Multi-Family,2
738,Medium Density Multi-Family,2
739,Medium Density Multi-Family,2
740,Medium Density Multi-Family,2
741,Medium Density Multi-Family,2
742,Medium Density Multi-Family,2
743,Medium Density Multi-Family,2
744,Medium Density Multi-Family,2
745,Medium Density Multi-Family,2
746,Medium Density Multi-Family,2
747,Medium Density Multi-Family,2
748,Medium Density Multi-Family,2
749,Medium Density Multi-Family,2
750,Medium Density Multi-Family,2
751,Medium Density Multi-Family,2
752,Medium Density Multi-Family,2
753,Medium Density Multi-Family,2
754,Medium Density Multi-Family,2
755,Medium Density Multi-Family,2
756,Medium Density Multi-Family,2
757,Medium Density Multi-Family,2
758,Medium Density Multi-Family,2
759,Medium Density Multi-Family,2
760,Medium Density Multi-Family,2
761,Medium Density Multi-Family,2
762,Medium Density Multi-Family,2
763,Medium Density Multi-Family,2
764,Medium Density Multi-Family,2
765,Medium Density Multi-Family,2
766,Medium Density Multi-Family,2
767,Medium Density Multi-Family,2
768,Medium Density Multi-Family,2
769,Medium Density Multi-Family,2
770,Medium Density Multi-Family,2
771,Medium Density Multi-Family,2
772,Medium Density Multi-Family,2
773,Medium Density Multi-Family,2
774,Medium Density Multi-Family,2
775,Medium Density Multi-Family,2
776,Medium Density Multi-Family,2
777,Medium Density Multi-Family,2
778,Medium Density Multi-Family,2
779,Medium Density Multi-Family,2
780,Medium Density Multi-Family,2
781,Medium Density Multi-Family,2
782,Medium Density Multi-Family,2
783,Medium Density Multi-Family,2
784,Medium Density Multi-Family,2
785,Medium Density Multi-Family,2
786,Medium Density Multi-Family,2
787,Medium Density Multi-Family,2
788,Medium Density Multi-Family,2
789,Medium Density Multi-Family,2
790,Medium Density Multi-Family,2
791,Medium Density Multi-Family,2
792,Medium Density Multi-Family,2
793,Medium Density Multi-Family,2
794,Medium Density Multi-Family,2
795,Medium Density Multi-Family,2
796,Medium Density Multi-Family,2
797,Medium Density Multi-Family,2
798,Medium Density Multi-Family,2
799,Medium Density Multi-Family,2
800,Medium Density Multi-Family,2
801,Medium Density Multi-Family,2
802,Medium Density Multi-Family,2
803,Medium Density Multi-Family,2
804,Medium Density Multi-Family,2
805,Medium Density Multi-Family,2
806,Medium Density Multi-Family,2
807,Medium Density Multi-Family,2
808,Medium Density Multi-Family,2
809,Medium Density Multi-Family,2
810,Medium Density Multi-Family,2
811,Medium Density Multi-Family,2
812,Medium Density Multi-Family,2
813,Medium Density Multi-Family,2
814,Medium Density Multi-Family,2
815,Medium Density Multi-Family,2
816,Medium Density Multi-Family,2
817,Medium Density Multi-Family,2
818,Medium Density Multi-Family,2
819,Medium Density Multi-Family,2
820,Medium Density Multi-Family,2
821,Medium Density Multi-Family,2
822,Medium Density Multi-Family,2
823,Neighborhood Commercial,NA
824,Neighborhood Commercial,NA
825,Neighborhood Commercial,NA
826,Neighborhood Commercial,NA
827,Neighborhood Commercial,NA
828,Neighborhood Commercial,NA
829,Neighborhood Commercial,NA
830,Neighborhood Commercial,NA
831,Neighborhood Commercial,NA
832,Neighborhood Commercial,NA
833,Neighborhood Commercial,NA
834,Neighborhood Commercial,NA
835,Neighborhood Commercial,NA
836,Neighborhood Commercial,NA
837,Neighborhood Commercial,NA
838,Neighborhood Commercial,NA
839,Neighborhood Commercial,NA
840,Neighborhood Commercial,NA
841,Neighborhood Commercial,NA
842,Neighborhood Commercial,NA
843,Neighborhood Commercial,NA
844,Neighborhood Commercial,NA
845,Neighborhood Commercial,NA
846,Neighborhood Commercial,NA
847,Neighborhood Commercial,NA
848,Neighborhood Commercial,NA
849,Neighborhood Commercial,NA
850,Neighborhood Commercial,NA
851,Neighborhood Commercial,NA
852,Neighborhood Commercial,NA
853,Neighborhood Commercial,NA
