ZoningDesc,GroupLabel,UnitsPerAc,MinimumLot,MinimumL_1,PlannedDis,NoticingBu,SHAPE_STAr,SHAPE_STLe,BaseZone,Zoning
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,120875.671875,1604.43965654,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,120871.902344,1603.27225603,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,120605.564453,1603.55664453,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,120572.917969,1603.85051441,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,120571.212891,1603.4703243,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,120513.958984,1594.48572353,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,120471.074219,1606.4550277,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,120459.354492,1603.1963774,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,120437.088867,1606.37135021,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,120417.464844,1603.52552527,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,120210.551758,1603.417276,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,120205.227539,1601.6443177,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,119799.202148,1600.17581089,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,119370.855469,1609.52257823,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,119293.373047,1598.92029182,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,118854.362305,1577.4565371,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,118307.235352,1568.30433235,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,118011.079102,1587.72727745,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,117936.65332,1585.76749069,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,117912.833008,1596.65141236,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,117587.405273,1587.57905914,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,114951.955078,1548.51317351,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,114679.733398,1600.44506032,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,114653.924805,2459.09287121,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,113823.344727,1552.10549286,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,112219.807617,1529.93272407,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,109373.073242,1535.33589661,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,109038.598633,1490.44373669,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,108607.282227,1494.08858143,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,107860.650391,1487.35924259,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,107751.722656,1375.52857257,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,107375.085938,1479.78758974,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,106160.177734,2314.18475346,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,103245.210938,1449.43048028,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,101578.87207,1454.18053631,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,96702.2958984,1438.27542414,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,93798.8310547,1342.901296,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,93101.0566406,1577.5595824,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,86925.5,1451.82345785,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,83995.6777344,1257.88092961,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,83740.5341797,1120.25104298,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,82969.3798828,1209.96228655,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,81223.9238281,1229.71394713,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,80325.5742188,1271.03161105,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,77167.9482422,1191.6655259,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,76163.3525391,1350.93327888,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,70512.4921875,1355.11008796,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,65640.4755859,1083.61746694,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,61566.1748047,1017.25204691,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,60873.9433594,1417.85338912,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,58187.8710938,1009.15330322,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,57229.9101563,1345.15848924,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,56564.8564453,1084.80817899,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,50726.6572266,904.316371403,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,48852.1855469,1208.1518508,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,47403.9121094,1199.82577056,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,46727.1777344,922.061993991,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,43064.0947266,948.086951171,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,42308.8466797,869.396179283,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,40762.5703125,807.689724857,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,40006.5693359,800.13453458,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,39916.2402344,799.186473261,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,39103.5820313,1019.14786689,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,38512.8544922,933.361114949,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,36569.7890625,991.541700259,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,33894.0458984,853.34913869,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,26579.8349609,670.045306718,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,26153.9501953,677.850804333,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,26041.1748047,738.628203643,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,25268.7802734,661.503685526,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,23755.1943359,628.112150394,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,22649.5009766,761.012038955,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,21605.0712891,617.452961853,C-RA-B2,1
Residential Agriculture,Residential Agriculture 10000 Sqft,4.356,0.229,10000,None,300,21027.6386719,656.901894939,C-RA-B2,1
Residential Agriculture,Residential Agriculture 20000 Sqft,2.178,0.459,20000,None,600,1384111.53516,5526.09250721,C-RA-B3,1
Residential Agriculture,Residential Agriculture 20000 Sqft,2.178,0.459,20000,None,600,826519.193359,4380.1387122,C-RA-B3,1
Residential Agriculture,Residential Agriculture 20000 Sqft,2.178,0.459,20000,None,600,433346.078125,2780.17390116,C-RA-B3,1
Residential Agriculture,Residential Agriculture 20000 Sqft,2.178,0.459,20000,None,600,319228.698242,2376.38042977,C-RA-B3,1
Residential Agriculture,Residential Agriculture 20000 Sqft,2.178,0.459,20000,None,600,271670.921875,3437.16409947,C-RA-B3,1
Residential Agriculture,Residential Agriculture 20000 Sqft,2.178,0.459,20000,None,600,252149.689453,2147.87651557,C-RA-B3,1
Residential Agriculture,Residential Agriculture 20000 Sqft,2.178,0.459,20000,None,600,233105.144531,3206.94182067,C-RA-B3,1
Residential Agriculture,Residential Agriculture 20000 Sqft,2.178,0.459,20000,None,600,193918.416016,1995.3182332,C-RA-B3,1
Residential Agriculture,Residential Agriculture 20000 Sqft,2.178,0.459,20000,None,600,181302.87793,2020.77879682,C-RA-B3,1
Residential Agriculture,Residential Agriculture 20000 Sqft,2.178,0.459,20000,None,600,130910.326172,1697.56649185,C-RA-B3,1
Residential Agriculture,Residential Agriculture 20000 Sqft,2.178,0.459,20000,None,600,47544.3300781,884.515405064,C-RA-B3,1
Residential Agriculture,Residential Agriculture 20000 Sqft,2.178,0.459,20000,None,600,43813.4365234,918.51825669,C-RA-B3,1
Residential Agriculture,Residential Agriculture 20000 Sqft,2.178,0.459,20000,None,600,36324.7568359,845.661185504,C-RA-B3,1
Residential Agriculture,Residential Agriculture 20000 Sqft,2.178,0.459,20000,None,600,27991.2021484,823.701710816,C-RA-B3,1
Residential Agriculture,Residential Agriculture 1 Acre,1,1,43560,None,600,1342195.28711,9152.65098991,C-RA-B4,1
Residential Agriculture,Residential Agriculture 1 Acre,1,1,43560,None,600,459831.755859,3302.3213789,C-RA-B4,1
Residential Agriculture,Residential Agriculture 1 Acre,1,1,43560,None,600,147663.356445,2355.15923302,C-RA-B4,1
Residential Agriculture,Residential Agriculture 1 Acre,1,1,43560,None,600,71292.7294922,1544.67508568,C-RA-B4,1
Residential Agriculture,Residential Agriculture 1 Acre,1,1,43560,None,600,63795.6259766,1136.94314394,C-RA-B4,1
Residential Agriculture,Residential Agriculture 1 Acre,1,1,43560,None,600,9404.49511719,463.840872378,C-RA-B4,1
Residential Agriculture,Residential Agriculture 1 Acre,1,1,43560,None,600,1310.42480469,163.054572452,C-RA-B4,1
Residential Agriculture,Residential Agriculture 2 Acres,0.5,2,87120,None,300,373640.53418,3316.07882512,C-RA-B5,1
Residential Agriculture,Residential Agriculture 2 Acres,0.5,2,87120,None,300,96681.1650391,1637.93327293,C-RA-B5,1
Residential Agriculture,Residential Agriculture 2 Acres,0.5,2,87120,None,300,60596.828125,1075.98326955,C-RA-B5,1
Residential Agriculture,Residential Agriculture 2 Acres,0.5,2,87120,None,300,6165.39746094,334.631679009,C-RA-B5,1
Resort and Commercial Recreation,Resort and Commercial Recreation,0,0,0,Commercial,300,1264225.66406,6323.10084332,C-RCR,0
Resort and Commercial Recreation,Resort and Commercial Recreation,0,0,0,Commercial,300,694909.128906,5792.95518142,C-RCR,0
Resort and Commercial Recreation,Resort and Commercial Recreation,0,0,0,Commercial,300,346561.463867,3040.19686926,C-RCR,0
Resort and Commercial Recreation,Resort and Commercial Recreation,0,0,0,Commercial,300,94673.0429688,1278.23256261,C-RCR,0
Resort and Commercial Recreation,Resort and Commercial Recreation,0,0,0,Commercial,300,93259.4033203,1334.6425104100001,C-RCR,0
Resort and Commercial Recreation,Resort and Commercial Recreation,0,0,0,Commercial,300,89847.6083984,1300.5673055,C-RCR,0
Resort and Commercial Recreation,Resort and Commercial Recreation,0,0,0,Commercial,300,87069.7128906,1244.45434131,C-RCR,0
Resort and Commercial Recreation,Resort and Commercial Recreation,0,0,0,Commercial,300,86574.8203125,1266.20291319,C-RCR,0
Resort and Commercial Recreation,Resort and Commercial Recreation,0,0,0,Commercial,300,86455.5839844,1266.69136038,C-RCR,0
Resort and Commercial Recreation,Resort and Commercial Recreation,0,0,0,Commercial,300,84064.2998047,1241.07147685,C-RCR,0
Resort and Commercial Recreation,Resort and Commercial Recreation,0,0,0,Commercial,300,83066.7802734,1232.83507071,C-RCR,0
Resort and Commercial Recreation,Resort and Commercial Recreation,0,0,0,Commercial,300,82253.1738281,1198.20094078,C-RCR,0
Resort and Commercial Recreation,Resort and Commercial Recreation,0,0,0,Commercial,300,81964.2480469,1219.99054115,C-RCR,0
Resort and Commercial Recreation,Resort and Commercial Recreation,0,0,0,Commercial,300,81687.4951172,1228.9414592,C-RCR,0
Resort and Commercial Recreation,Resort and Commercial Recreation,0,0,0,Commercial,300,79733.8203125,1197.55904162,C-RCR,0
Resort and Commercial Recreation,Resort and Commercial Recreation,0,0,0,Commercial,300,78230.0429688,1182.77104536,C-RCR,0
Resort and Commercial Recreation,Resort and Commercial Recreation,0,0,0,Commercial,300,78228.4121094,1182.75299864,C-RCR,0
Resort and Commercial Recreation,Resort and Commercial Recreation,0,0,0,Commercial,300,78227.9414063,1182.75598194,C-RCR,0
Resort and Commercial Recreation,Resort and Commercial Recreation,0,0,0,Commercial,300,78203.7158203,1182.61583741,C-RCR,0
Resort and Commercial Recreation,Resort and Commercial Recreation,0,0,0,Commercial,300,78191.7724609,1182.52327409,C-RCR,0
Resort and Commercial Recreation,Resort and Commercial Recreation,0,0,0,Commercial,300,78191.6240234,1182.52117543,C-RCR,0
