FID_1,BaseZone,LotSizeZon,dZone,srZone,nZone,hZone,bwZone,psZone,smZone,GlobalID,SHAPE_Leng,SHAPE_Area,Tot_zone,Zoning
1457,R1E,-2.5s,-d1,NA,NA,NA,NA,NA,NA,{6B2F2567-F27F-4223-BF8B-6F5D2A05E4A1},0.012562177557334,3.52543205e-6,R1E-2.5s-d1,1
1458,A,-40Ac,-d1,NA,NA,NA,NA,NA,NA,{A7F7E3DB-563C-4586-87BF-71C17E9CF1A1},0.018208617242515,1.7147987105e-5,A-40Ac-d1,0
1459,A,-40Ac,-d1,NA,NA,NA,NA,NA,NA,{5EA8C329-6FA3-4474-9B0D-EBCC5A8983F0},0.00450272841943,1.228857143e-6,A-40Ac-d1,0
1461,A,-20Ac,NA,NA,NA,NA,NA,NA,NA,{545D58B5-30F3-401F-A319-EC0A773BEF3C},0.010195985072414,5.446479625e-6,A-20Ac,0
1462,A,-20Ac,NA,NA,NA,NA,NA,NA,NA,{87CB32DC-F051-48D7-8B23-2A78C54F5BC3},0.110761305930412,5.28788716246e-4,A-20Ac,0
1463,A,-20Ac,NA,NA,NA,NA,NA,NA,NA,{A1B7D878-2583-463B-A745-A3E83F571C20},0.017475874432544,1.1374308353e-5,A-20Ac,0
1464,A,-20Ac,NA,NA,NA,NA,NA,NA,NA,{7ADEC702-8790-4A8C-92FC-D800A2807E35},0.011541984661496,7.342135035e-6,A-20Ac,0
1466,HS,NA,NA,NA,NA,-h1,NA,NA,NA,{9B2D77B0-2CBC-4D7A-930E-D85C17242096},0.064905483616232,3.5989375947e-5,HS-h1,0
1467,HS,NA,-d,NA,NA,NA,NA,NA,NA,{9AC20828-EE74-4758-A91D-1F12B52FB166},0.003141742486652,3.02918016e-7,HS-d,0
1468,HS,NA,-d,NA,NA,NA,NA,NA,NA,{51A96E85-88BF-42D4-AF23-F97FEBCB65A0},0.100244103603773,3.23061992537e-4,HS-d,0
1470,HS,NA,NA,-sr,NA,NA,NA,NA,NA,{BCA74EFC-9BED-472E-A6D3-93AFAA931577},0.002640849325653,4.18844744e-7,HS-sr,0
1473,RR,NA,-d1,-sr,NA,NA,NA,NA,NA,{EB1A475C-4B1B-47F0-B700-0FEADBBACBEC},0.008069503067443,3.826855609e-6,RR-d1-sr,1
1475,HS,NA,-d1,-sr,NA,NA,NA,NA,NA,{5AB47133-AF9A-4D41-A621-0147A9680DB4},0.119704659477359,2.06212440024e-4,HS-d1-sr,0
1479,HS,NA,-d1,NA,NA,NA,NA,NA,NA,{5B845ED5-A67E-4C02-9736-8C0483A7A1F8},0.0232278431588,1.0284864843e-5,HS-d1,0
1480,HS,NA,-d1,NA,NA,NA,NA,NA,NA,{2764A923-FF8B-470C-82EE-F2A027C7F6D1},0.062618494848007,1.93429659532e-4,HS-d1,0
1481,RR,NA,-d1,NA,NA,NA,NA,NA,NA,{654D72EA-2E32-4C5E-BD02-86A9A97CA758},0.010402802046482,4.087336455e-6,RR-d1,1
1482,RR,NA,-d1,NA,NA,NA,NA,NA,NA,{158DCC49-E269-4DD8-94FC-50BCABC140A7},0.007808820017675,2.815400915e-6,RR-d1,1
1483,HS,NA,-d1,NA,NA,NA,NA,NA,NA,{4AA9BFB7-CCE1-417A-ADAE-DF332CB37C63},0.003395195515955,5.5553075e-7,HS-d1,0
1484,HS,NA,-d1,NA,NA,NA,NA,NA,NA,{D1B31001-E81A-46AE-956F-833485B0B8D7},0.177250782894083,5.12717627998e-4,HS-d1,0
1486,RR,NA,-d1,NA,NA,NA,NA,NA,NA,{3178E73E-569A-43E0-A83A-74381134496A},0.026747108778603,1.961405472e-5,RR-d1,1
1487,RR,NA,-d1,NA,NA,NA,NA,NA,NA,{C47DAA94-23FB-411D-A43E-73735282B0A0},0.005795473212133,1.997832307e-6,RR-d1,1
1488,RR,NA,-d1,NA,NA,NA,NA,NA,NA,{D57A9BF0-EFBD-47F3-9844-89EE29A7A9C3},0.072243442386931,1.46486385398e-4,RR-d1,1
1489,RR,NA,-d1,NA,NA,NA,NA,NA,NA,{3DF0B648-66D8-4AEA-8786-6195A08FFAD1},0.048043027326815,3.568356626e-5,RR-d1,1
1491,RR,NA,-d1,-sr,NA,NA,NA,NA,NA,{B704BA2D-A3D7-4A60-A769-C5D2875B7AC8},0.011045406132769,6.744918414e-6,RR-d1-sr,1
1492,RR,NA,-d1,-sr,NA,NA,NA,NA,NA,{EF35E44D-B19C-4A5F-976F-A60C465E4CF4},0.00509354541586,1.552201844e-6,RR-d1-sr,1
1496,RR,NA,-d1,-sr,NA,NA,NA,NA,NA,{A299DB4E-F41F-49CD-82D2-488D6405DB68},0.00845390966841,2.369894586e-6,RR-d1-sr,1
1497,RR,NA,-d1,-sr,NA,NA,NA,NA,NA,{E0008D02-B889-4C0B-99B1-01357AAAB93E},0.009303183592217,3.885130236e-6,RR-d1-sr,1
1499,RR,NA,-d1,-sr,NA,NA,NA,NA,NA,{397B2D00-A099-4624-AE51-FF81AE58AE6E},0.002861407235256,4.56072105e-7,RR-d1-sr,1
1500,RR,NA,-d1,-sr,NA,NA,NA,NA,NA,{D3C28515-12EE-4FC8-8682-263AF63B666F},0.011977597596861,3.804203831e-6,RR-d1-sr,1
1501,RR,NA,-d1,-sr,NA,NA,NA,NA,NA,{EEA965DF-7E04-4170-AD90-3C4F13EF739A},0.00627461938374,1.899306219e-6,RR-d1-sr,1
