FID_1,DATE_CREAT,DATE_UPDAT,EDITOR,SPECIFICPL,PRIMARY_ZO,COMBINING_,COMBININ_1,COMBININ_2,COMBININ_3,YARD_REQUI,AREAPLAN,PD_ZU_NUMB,MBSA_ACRE,MBSA_SQFT,MEDIAN_LOT,FRONT_YARD,SIDE_YARD,LABEL,Notes,GlobalID,SHAPE_Leng,SHAPE_Area,Zoning
1744,2003-01-01,NA,C1,NA,CN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CN,NA,{0F3CDE48-0097-47E5-A663-37FCA559302A},9.86086141321e-4,5.1126274e-8,NA
1745,2003-01-01,NA,C1,NA,C1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C1,NA,{D3A2D17F-0EFF-4297-898B-1EEC6EF789B6},0.001361423440709,1.14422553e-7,NA
1746,2003-01-01,NA,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{FDB69B2F-5C71-47EB-BF12-801472231075},0.009331025565076,2.127376852e-6,1
1747,2003-01-01,NA,C1,NA,PD,NA,NA,NA,NA,NA,NA,1512,NA,NA,NA,NA,NA,PD-1512,NA,{F726D377-8E6F-46BC-847D-3F3789B7916D},0.024481475549249,2.4295119816e-5,NA
1748,2003-01-01,NA,C1,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,{DFF12E1F-FAD6-4761-83BC-042EEA48832D},0.068201336293391,2.37194982287e-4,NA
1749,2008-02-05,NA,C1,NA,R1,CSU,RV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R1-CSU-RV,NA,{CF0AADD1-4A63-419C-B83B-8A7BDE05DE59},9.87106735944e-4,1.3646223e-8,1
1750,2008-02-05,2008-02-05,C1,NA,PD,NA,NA,NA,NA,NA,NA,1794,NA,NA,NA,NA,NA,PD-1794,NA,{410CBB8B-E76F-4FD0-9767-6FD629ACFE0F},0.007791184733845,3.434658067e-6,NA
1751,2003-01-01,2008-02-11,NA,NA,A,BE,NA,NA,NA,100 Ac. MBSA,NA,NA,NA,NA,NA,NA,NA,A-BE,NA,{94AE6973-8549-40C9-806D-15A4744F3857},0.003016200388547,4.1821707e-7,NA
1752,2003-01-01,2008-02-11,NA,NA,A,BE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A-BE,NA,{2C694A5B-8F98-45EA-B3F6-1263465BABB2},0.001918405123434,1.405354e-7,NA
1753,2003-01-01,2012-10-26,ppa,NA,A,BE,NA,NA,NA,100 Ac. MBSA,NA,NA,NA,NA,NA,NA,NA,A-BE,NA,{61C3AB3C-9CC7-47E0-A3F0-9840BCBBCBF6},0.039059487301503,5.753253097e-5,NA
1754,2011-01-20,2011-01-20,C1,NA,R2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R2,NA,{55ECE2EE-6682-4D14-A4BA-8D36139A8FF4},0.001154077961572,5.9345194e-8,2
1755,2011-01-20,2011-01-20,C1,NA,PD,NA,NA,NA,NA,NA,NA,1706,NA,NA,NA,NA,NA,PD-1706,NA,{A03C72BC-389A-47F8-96AA-C30DE0F6EF6A},0.001117347494263,5.5731273e-8,NA
1756,2003-01-01,NA,C1,NA,PD,NA,NA,NA,NA,NA,NA,2001,NA,NA,NA,NA,NA,PD-2001,NA,{65376309-B520-4ABC-ABEA-CC9DA124822B},0.016872314800174,4.153983467e-6,NA
1757,2003-01-01,NA,C1,NA,PD,NA,NA,NA,NA,NA,NA,2001,NA,NA,NA,NA,NA,PD-2001,NA,{C9DB78AE-DABE-4D18-B7CB-A68C4EC010B4},0.006574913776318,2.119522799e-6,NA
1758,2003-01-01,NA,C1,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,{3772DEB9-75E2-455D-98D7-D13114EAFA19},0.020996645689495,2.4457913178e-5,NA
1759,2003-01-01,NA,C1,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,{647FDF3C-1221-47B6-9033-DE4005D4E1EB},0.004571429732799,7.34296383e-7,NA
1760,2003-01-01,NA,C1,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,{DC076F1D-D5D1-447F-997A-4DDD98EFA758},0.04092858276681,3.3492881559e-5,NA
1761,2003-01-01,NA,C1,NA,C1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C1,NA,{A6F1A35F-8F64-49CE-90F5-534B36A6138D},0.006105716592354,9.3431213e-7,NA
1762,2003-01-01,NA,C1,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,{47D8F90B-E2CE-4226-92B2-D53BB8BF3658},0.041399046942073,1.06786073966e-4,NA
1763,2003-01-01,NA,C1,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,{677C5067-4782-49AD-8209-8E55C629135C},0.040812151114555,6.0463811224e-5,NA
1764,2003-01-01,NA,C1,NA,A,BE,NA,NA,NA,160 Ac.,NA,NA,NA,NA,NA,NA,NA,A-BE,NA,{8F9895E1-8B20-4C56-8520-D47F7088B911},0.01954331072696,2.4135452115e-5,NA
