Name,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,snippet,Zoning
CC-UN,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
CC-UO,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
CC-UN,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
CC-UN,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
CC-UN,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
CC-UN,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
D-E,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
D-E,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
D-CA,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
D-MD,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
D-MD,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
D-CC,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
I-S,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
I-S,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-O,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-G,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
I-T,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
I-S,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
PF,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-G,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
I-T,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
I-T,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
I-T,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
C-G,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
P-2002-76,NA,NA,NA,clampToGround,-1,0,-1,NA,NA,NA,NA
RR COR,NA,NA,NA,clampToGround,-1,0,-1,0,NA,NA,3
RR COR,NA,NA,NA,clampToGround,-1,0,-1,0,NA,NA,3
RR COR,NA,NA,NA,clampToGround,-1,0,-1,0,NA,NA,3
RR COR,NA,NA,NA,clampToGround,-1,0,-1,0,NA,NA,3
