id,gnrl_p_,edt_g__,zoning
548,M-U,M-U,2
549,M-U,M-U,2
550,M-U,M-U,2
551,M-U,M-U,2
552,M-U,M-U,2
553,REC,REC,0
554,M-U,M-U,2
555,M-U,M-U,2
556,M-U,M-U,2
557,REC,REC,0
558,M-U,M-U_SF,1
559,M-U,M-U_Remove,3
560,M-U,M-U,2
561,REC,REC,0
562,M-U,M-U,2
563,REC,REC,0
564,REC,REC,0
565,P-I,P-I,0
566,P-I,P-I,0
567,R-M,R-M,2
568,R-L,R-L_Remove,3
569,M-U,M-U,2
570,R-M,R-M,2
571,REC,REC,0
572,R-M,R-M,2
573,R-M,R-M,2
574,R-L,R-L,1
575,R-L,R-L,1
576,R-L,R-L,1
577,R-M,R-M,2
578,R-M,R-M,2
579,R-M,R-M,2
580,R-L,R-L,1
581,R-M,R-M,2
582,R-M,R-M,2
583,P-I,P-I_Remove,3
999,I-L_Remove,I-L_Remove,3
998,P-I_remove,P-I_Remove,3
110,R-E,R-E_Remove,3
996,M-U_NonRes,M-U_NonRes,0
995,M-U_NonRes,M-U_NonRes,0
994,M-U_NonRes,M-U_NonRes,0
994,M-U_NonRes,M-U_NonRes,0
519,M-U,M-U,2
