GlobalID,FeatureID,ZoningDist,ZoningCate,ZoningDesc,ZoningSubA,IsPreZoned,HasTransfe,PlanningNo,CreateDate,RevDate,RevBy,RevComment,Shape_STAr,Shape_STLe,Zoning
{15C4E1A1-49D0-4A18-8AD9-604CB8236330},27,MFR,MFR,Residential,NA,No,No,NA,NA,2013-07-12,NA,NA,23975.5068359,620.13659974,2
{436E9725-0CFA-4DB0-B906-6F591C74CD19},28,T3N-HP-H,T3N,Mixed Use,NA,No,No,NA,NA,NA,NA,NA,19768.15625,595.363457882,1
{287C105C-CAAB-49FA-B754-D43F251CDF42},29,T3N-HP-H,T3N,Mixed Use,NA,No,No,NA,NA,NA,NA,NA,26599.9951172,659.99991256,NA
{8F540E65-9E07-4659-B92F-0FFA7745DD07},30,T3N-HP-L,T3N,Mixed Use,NA,No,No,NA,NA,NA,NA,NA,13205.0048828,518.999938373,1
{55BD9838-D54D-46CD-BC5E-344CC47A8300},31,RL,RL,Residential,NA,No,No,NA,NA,2014-09-18,NA,NA,42136589.749,67116.1403595,1
{DE9FE827-DFAA-4702-B6EB-A1C89B71A0CF},32,RL,RL,Residential,NA,No,No,NA,NA,NA,NA,NA,946569.012695,3964.46680438,1
{33FEBA77-DB3E-41E1-AF44-CECC12EDFFE2},33,RS,RS,Residential,NA,No,No,PUD 3,NA,2014-04-03,NA,NA,4562269.875,9752.55950455,1
{90142701-5DB1-41D7-BBE4-014FD28C111E},34,RS,RS,Residential,NA,No,No,PUD 3,NA,2014-04-03,NA,NA,3219014.79199,9868.89610152,1
{6D8E3DF3-6424-4E91-A6E7-733B7B428E09},35,RL,RL,Residential,NA,No,No,NA,NA,NA,NA,NA,175585.131836,1784.6767516,1
{9B96ECE8-1D91-4C7C-965F-113BE8D55D80},36,RL,RL,Residential,NA,No,No,NA,NA,NA,NA,NA,420707.648438,2596.39390868,1
{162EF5EA-B7DF-4583-80D8-8A5AABBF43A7},37,RL,RL,Residential,NA,No,No,NA,NA,NA,NA,NA,435813.022461,2640.66401251,1
{354AF69F-ABEC-4357-B461-A98DFF4437E0},38,RL,RL,Residential,NA,No,No,NA,NA,2014-09-18,NA,NA,2915180.95703,11850.307428,1
{D4DB2DF1-F174-4E70-8BD7-C949466A1C51},39,RL,RL,Residential,NA,No,No,NA,NA,NA,NA,NA,20548859.8945,35970.3096288,1
{6D650EA1-1F67-4A03-B5F8-2A80A357BB80},40,RG-10,RG,Residential,NA,No,No,NA,NA,NA,NA,NA,84351.0371094,1560.44816336,2
{B64BD54E-6A16-4780-853F-A0EC222E4C50},41,RG-16,RG,Residential,NA,No,No,NA,NA,NA,NA,NA,219229.046875,1886.65516984,2
{CC957188-BDF5-4CD3-9584-F11FCEB24A91},42,RG-16,RG,Residential,NA,No,No,NA,NA,NA,NA,NA,153322.757813,1566.27896203,2
{AF88DC6F-1807-445E-AFDD-C106EC3A26F7},43,RG-16,RG,Residential,NA,No,No,NA,NA,NA,NA,NA,138632.150391,1786.3208247,2
{47494D61-8004-4194-824A-A63559681D02},44,RG-12,RG,Residential,NA,No,No,NA,NA,NA,NA,NA,61131.9824219,1109.05891761,2
{66A7726A-12C4-4465-9959-B7F8F9488D15},45,RG-16,RG,Residential,NA,No,No,NA,NA,NA,NA,NA,171835.823242,2073.98757781,2
{060C63CB-D1EB-48C5-B198-18D9859A2957},46,RG-12,RG,Residential,NA,No,No,Bdry adjustment,NA,2014-09-25,NA,NA,51132.5507813,1009.69552702,2
{1AA312C4-C65B-491C-AC90-0CBE16388B11},47,RG-16,RG,Residential,NA,No,No,NA,NA,NA,NA,NA,321975.282227,3283.62879115,2
{7BBB7E97-B090-4943-B8A6-647125471B81},48,RG-10,RG,Residential,NA,No,No,NA,NA,NA,NA,NA,893001.594727,4314.28921023,2
{EB51F1ED-E8DC-4B79-95D1-A8DFC68DEE07},49,RG-12,RG,Residential,NA,No,No,NA,NA,NA,NA,NA,108384.765625,1338.45948835,2
