OBJECTID,BASEZONING,DISTRICT,DENSITY,Shape_Leng,Shape_Area,Zoning
198,AR B6 10 Z,AR,10,9653.56919433,4008240.66137,NA
199,AR B6 10/3 (Ac/DU)/Ac MIN,AR,10/3 (Ac/DU)/Ac MIN,3644.88598273,349638.172637,NA
200,AR B6 14,AR,14,6086.31512149,1953687.26101,NA
201,AR B6 15,AR,15,5890.6590481,771588.452074,NA
202,AR B6 15,AR,15,32329.3684664,31071578.6932,NA
203,AR B6 15,AR,15,6075.65584298,715899.553003,NA
204,AR B6 15,AR,15,2171.59975534,169019.232082,NA
205,AR B6 15,AR,15,4628.14220447,405237.067488,NA
206,AR B6 15,AR,15,679.252093303,24119.3203113,NA
207,AR B6 15,AR,15,1931.14720929,162503.032635,NA
208,AR B6 15,AR,15,2550.36972079,186275.739752,NA
209,AR B6 15,AR,15,4319.76127213,341735.200765,NA
210,AR B6 15,AR,15,7519.88820925,877833.090618,NA
211,AR B6 15,AR,15,1604.06500899,30605.4426469,NA
212,AR B6 15,AR,15,3492.1352369,269638.615841,NA
213,AR B6 15,AR,15,7757.04928857,3176269.8517,NA
214,AR B6 15,AR,15,6529.68332096,1115233.29217,NA
215,AR B6 15,AR,15,10479.9520195,5146786.4862,NA
216,AR B6 15,AR,15,13841.3212301,7691764.0499,NA
217,AR B6 15,AR,15,6400.12792355,2297423.81544,NA
218,AR B6 15,AR,15,7609.86416192,2369849.3606,NA
219,AR B6 15/5 (Ac/DU)/Ac MIN,AR,15/5 (Ac/DU)/Ac MIN,3992.20901978,1043647.46786,NA
220,AR B6 18,AR,18,3469.86335447,521144.443638,NA
221,AR B6 2,AR,2,4706.21216657,972185.942351,NA
222,AR B6 2,AR,2,2974.29158932,299193.020192,NA
223,AR B6 2,AR,2,8202.35057666,2118386.47656,NA
224,AR B6 2,AR,2,7216.33300182,2961474.94147,NA
225,AR B6 2,AR,2,19167.9909853,9340679.21843,NA
226,AR B6 2,AR,2,4969.2038313,1473951.35433,NA
227,AR B6 2,AR,2,3642.94068318,341023.127604,NA
