APN,LevelNm,GP,gnrl_p_,ASMT,Shp_Lng,Shap_Ar,Acres,id,edt_g__,zoning
164-280-015,1,LDR,VR,164280015,329.805100195,4885.00050879,0.11214418064,2853,VR,1
066-010-015,1,VLDR,SR,066010015,622.173745649,21129.9586663,0.48507710437,2854,SR,1
164-360-029,1,LDR,PD_VntgGrn,164360029,278.170671666,4455.64635309,0.1022875655,2855,PD_VntgGrn,1
066-341-007,1,VLDR,SR,066341007,387.232689768,8657.24512062,0.19874300093,2856,SR,1
066-010-012,1,VLDR,SR,066010012,453.456664168,12780.2146911,0.29339335838,2857,SR,1
066-010-016,1,VLDR,SR,066010016,1425.84381731,96903.2090048,2.22459157495,2858,SR,1
066-030-068,1,VLDR,SR,066030068,364.020246436,7764.20001435,0.1782415063,2859,SR,1
161-162-035,1,VLDR,SR,161162035,294.356490805,4647.66276976,0.10669565587,2860,SR,1
066-364-011,1,VLDR,SR,066364011,340.459491133,6736.33096249,0.15464487976,2861,SR,1
164-290-063,1,VLDR,SR,164290063,305.673716925,5337.30476177,0.12252765752,2862,SR,1
161-470-001,1,VLDR,SR,161470001,351.503629895,7627.54530961,0.17510434595,2863,SR,1
164-020-027,1,LDR,VR,164020027,402.128015874,9924.78619844,0.22784174009,2864,VR,1
066-372-002,1,LDR,VR,066372002,315.348429432,6000.03599941,0.13774187327,2865,VR,1
066-560-023,1,ER,ER,066560023,530.264892942,16771.1081481,0.38501166547,2866,ER,1
066-010-019,1,VLDR,SR,066010019,1442.41386475,107470.134458,2.4671748039,2867,SR,1
066-342-009,1,VLDR,SR,066342009,369.092768729,8022.2251317,0.18416494793,2868,SR,1
066-030-070,1,VLDR,SR,066030070,546.516913859,12955.7491121,0.2974230742,2869,SR,1
161-560-018,1,LDR,VR,161560018,268.043254997,4170.06846748,0.09573159935,2870,VR,1
161-470-043,1,VLDR,SR,161470043,249.455078049,3860.86620432,0.08863329211,2871,SR,1
164-200-049,1,LDR,VR,164200049,287.840239667,4891.21674957,0.11228688589,2872,VR,1
066-010-032,1,VLDR,SR,066010032,1496.30421795,83527.5904928,1.91752962564,2873,SR,1
164-470-003,1,TC,TC,164470003,106.64032577,554.966262742,0.01274027233,2874,TC__MF,2
164-460-004,1,TC,TC,164460004,118.590869725,678.424861247,0.01557449176,2875,TC__MF,2
161-560-012,1,LDR,VR,161560012,264.777420211,3857.10672909,0.08854698643,2876,VR,1
161-580-008,1,LDR,VR,161580008,263.380277728,4104.84241224,0.09423421516,2877,VR,1
066-700-007,1,TC,TC-AUFO,066700007,107.013527243,486.598698256,0.01117076901,2878,TC-AUFO__MF,2
066-352-001,1,VLDR,SR,066352001,400.43088708,8614.53799171,0.19776258016,2879,SR,1
066-372-013,1,LDR,VR,066372013,313.202948257,6000.79990178,0.13775941005,2880,VR,1
161-050-030,1,SC,SC,161050030,506.223619438,15949.0723099,0.36614031933,2881,SC,0
161-560-030,1,LDR,VR,161560030,241.623494656,3016.95398032,0.06925973325,2882,VR,1
066-430-012,1,VLDR,SR,066430012,380.868941281,8834.72682069,0.20281742013,2883,SR,1
164-140-037,1,LI,LI,164140037,509.877752968,11654.084905,0.26754097578,2884,LI,0
164-480-003,1,TC,TC,164480003,117.364625234,776.919971777,0.01783562837,2885,TC__MF,2
164-550-001,1,LI,LI,164550001,1323.17979823,102934.879824,2.36305968374,2886,LI,0
164-420-061,1,LDR,PD_VntgGrn,164420061,259.403801638,3457.79149644,0.07937997007,2887,PD_VntgGrn,1
164-500-013,1,TC,TC,164500013,123.349507465,734.96632702,0.01687250521,2888,TC,0
164-460-010,2,TC,TC,164460010,162.068809523,1009.29590144,0.02317024567,2889,TC__MF,2
161-410-033,1,VLDR,SR,161410033,333.46805262,6377.83181701,0.14641487183,2890,SR,1
161-560-026,1,LDR,VR,161560026,302.178549992,5032.07290634,0.11552049831,2891,VR,1
164-420-027,1,LDR,PD_VntgGrn,164420027,267.827094619,3797.22881922,0.08717237877,2892,PD_VntgGrn,1
066-710-006,2,TC,TC,066710006,150.612761488,783.688975017,0.0179910233,2893,TC__MF,2
161-560-022,1,LDR,VR,161560022,241.988095787,2945.23363524,0.06761326068,2894,VR,1
164-340-081,1,VLDR,PD_VntgGrn,164340081,360.292140993,7735.37795546,0.17757984287,2895,PD_VntgGrn,1
066-372-004,1,LDR,VR,066372004,315.347329221,6000.38921984,0.13774998209,2896,VR,1
164-340-083,1,VLDR,PD_VntgGrn,164340083,329.802932997,6499.27232669,0.14920276232,2897,PD_VntgGrn,1
161-560-027,1,LDR,VR,161560027,292.156609348,4329.45280723,0.09939056031,2898,VR,1
066-690-002,1,TC,TC-AUFO,066690002,147.943883537,884.864994693,0.02031370511,2899,TC-AUFO,0
066-700-003,1,TC,TC,066700003,123.341420546,781.957513062,0.0179512744,2900,TC__MF,2
066-680-018,2,TC,TC-AUFO,066680018,143.039762401,951.417878367,0.02184154909,2901,TC-AUFO__MF,2
161-371-001,1,VLDR,SR,161371001,314.863222419,5666.20696794,0.13007821322,2902,SR,1
164-020-018,1,LDR,VR,164020018,369.101574063,7443.37202873,0.1708763092,2903,VR,1
066-030-054,1,VLDR,SR,066030054,767.692332134,36590.1615179,0.8399945252,2904,SR,1
164-020-012,1,LDR,VR,164020012,370.002614902,7500.31379214,0.17218351222,2905,VR,1
161-560-011,1,LDR,VR,161560011,285.316720873,4434.51241924,0.10180239714,2906,VR,1
164-500-007,2,TC,TC,164500007,148.997222153,866.948403584,0.01990239678,2907,TC__MF,2
164-470-004,1,TC,TC,164470004,111.925824541,657.595064981,0.01509630544,2908,TC,0
066-670-002,1,TC,TC-AUFO,066670002,121.573034626,803.167289363,0.01843818387,2909,TC-AUFO__MF,2
066-352-008,1,VLDR,SR,066352008,361.675548069,7187.25240101,0.16499661159,2910,SR,1
066-730-003,1,LDR,VR,066730003,115.228475554,773.188610376,0.0177499681,2911,VR,1
164-480-001,1,TC,TC,164480001,97.9736482122,515.125754458,0.01182566011,2912,TC__MF,2
164-480-009,2,TC,TC,164480009,155.459714233,936.548699598,0.02150019972,2913,TC__MF,2
066-650-006,2,TC,TC-AUFO,066650006,108.223361083,643.50200381,0.01477277327,2914,TC-AUFO__MF,2
161-310-028,1,VLDR,SR,161310028,377.887586744,7008.60569225,0.16089544748,2915,SR,1
161-310-021,1,VLDR,SR,161310021,341.149383323,6573.90949172,0.15091619586,2916,SR,1
066-420-055,1,VLDR,SR,066420055,424.860892098,9118.71730108,0.20933694447,2917,SR,1
066-550-059,1,LDR,VR,066550059,356.657923036,7956.91733739,0.18266568727,2918,VR,1
066-362-001,1,VLDR,SR,066362001,399.218603942,9943.17773987,0.22826395179,2919,SR,1
066-700-010,2,TC,TC,066700010,163.234326925,981.628892094,0.02253509853,2920,TC__MF,2
161-560-008,1,LDR,VR,161560008,254.011775808,3268.85060869,0.07504248413,2921,VR,1
066-420-052,1,VLDR,SR,066420052,435.275612599,11463.3773439,0.2631629326,2922,SR,1
161-560-025,1,LDR,VR,161560025,241.770095645,2843.45664226,0.06527678242,2923,VR,1
