ZN_ID,GP_DESG,FILENUM,OTHER,ACRES,CHANGED,LABCLAS,ZNPROP,ZNEX,ZNEXUPD,T_GP,LABEL_F,ZNPROPD,T_hndlb,Cannabs,gnrl_p_,id,edt_g__,zoning
37,BP,NA,NA,0,NA,Large,PBC,PBC,PBC,RIVERTWN,NA,Planned Business Center,No,0,Planned Business Center,311,Planned Business Center,0
246,BP,07-02,NA,0,N,Large,NA,PD,PD,NA,NA,Planned Development District,No,1,Planned Development District_NonRes,312,Planned Development District_NonRes,0
0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,313,NA,3
0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,315,NA,3
0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,316,NA,3
0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,317,NA,3
0,NA,NA,NA,0,NA,NA,RRMP,RRMP,RRMP,NA,NA,Roddy Ranch Master Plan District,NA,0,Roddy Ranch Master Plan District,318,Roddy Ranch Master Plan District,0
0,NA,05-01,NA,0,NA,NA,P-D,P-D,P-D,NA,NA,Planned Development,NA,0,Planned Development_NonRes,319,Planned Development_NonRes,0
0,NA,04-10,NA,0,NA,NA,P-D,P-D,P-D,NA,NA,Planned Development,NA,0,Planned Development_NonRes,320,Planned Development_NonRes,0
0,NA,NA,NA,0,NA,NA,R-25,NA,NA,NA,NA,High Density Residential,NA,0,High Density Residential,321,High Density Residential,2
0,NA,OS,NA,0,NA,NA,OS,OS,OS,NA,NA,Open Space,NA,0,Open Space,322,Open Space,0
0,NA,NA,NA,0,NA,NA,M-2,NA,NA,NA,NA,Heavy Industrial,NA,1,Heavy Industrial,323,Heavy Industrial,0
0,NA,NA,NA,0,NA,NA,OS,NA,NA,NA,NA,Open Space,NA,0,Open Space,324,Open Space,0
0,NA,NA,NA,0,NA,NA,M-2,NA,NA,NA,NA,Heavy Industrial,NA,1,Heavy Industrial,325,Heavy Industrial,0
0,NA,NA,NA,0,NA,NA,S,NA,NA,NA,NA,Zoning Study District,NA,1,Zoning Study District,326,Zoning Study District,1
0,NA,08-06,NA,0,NA,NA,NA,NA,NA,NA,NA,Planned Development,NA,0,Planned Development_NonRes,327,Planned Development_NonRes,0
0,NA,NA,NA,0,NA,NA,R-35,NA,NA,NA,NA,High Density Residential,NA,0,High Density Residential,328,High Density Residential,2
0,NA,09-07,NA,0,NA,NA,NA,NA,NA,NA,NA,Planned Development,NA,0,Planned Development_NonRes,329,Planned Development_NonRes,0
0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,Planned Development,NA,0,Planned Development_NonRes,330,Planned Development_NonRes,0
999,NA,88-4.1,NA,81.033,N,Large-FileNum,P-D,P-D,P-D,NA,has fn,Planned Development District,No,0,Planned Development District_MF,337,Planned Development District_MF,2
14,NA,NA,East Lone Tree Specific P,803.719,N,Large,S-P,S-P,S-P,NA,NA,Specific Plan,No,0,Specific Plan_NonRes,338,Specific Plan_NonRes,0
