DATA,DATA_TY,Shp_Lng,Shap_Ar,gnrl_p_,id,edt_g__,zoningd,zoning
PUD-A/MDR,Agriculture/Medium Density Residential-PUD,1168.64513152,83420.768576,Agriculture/Medium Density Residential-PUD_SingleFamily,374,Agriculture/Medium Density Residential-PUD_SingleFamily,387,1
PUD-C,Commercial-PUD,795.97059195,36101.9903246,Commercial-PUD,375,Commercial-PUD,6,0
PUD-C,Commercial-PUD,1530.61752126,154096.427637,Commercial-PUD,376,Commercial-PUD,6,0
PUD-C,Commercial-PUD,1262.70927608,86788.5471322,Commercial-PUD,377,Commercial-PUD,6,0
PUD-C,Commercial-PUD,1442.82140264,103962.539758,Commercial-PUD,378,Commercial-PUD,6,0
PUD-HDR,Planned Unit Development - High Density Residential,3564.25700483,593797.259942,Planned Unit Development - High Density Residential,379,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,2828.19262039,466662.233856,Planned Unit Development - High Density Residential,380,Planned Unit Development - High Density Residential,14,2
PUD-R-1-65,Single Family Residential-PUD,4026.82659626,854864.049079,Single Family Residential-PUD,381,Single Family Residential-PUD,266,1
PUD-R-1-65,Single Family Residential-PUD,6026.64357897,1645085.80502,Single Family Residential-PUD,382,Single Family Residential-PUD,266,1
PUD-MDR,Planned Unit Development - Medium Density Residential,904.407394317,43406.3397291,Planned Unit Development - Medium Density Residential,383,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR,Planned Unit Development - Medium Density Residential,4893.98704609,1324002.83551,Planned Unit Development - Medium Density Residential,384,Planned Unit Development - Medium Density Residential,40,1
PUD-O,Planned Unit Development - Office,1100.94987383,67102.4146637,Planned Unit Development - Office,385,Planned Unit Development - Office,126,0
R-1-65,Single Family Residential,389.581446133,6492.15911916,Single Family Residential,386,Single Family Residential,55,1
R-1-65,Single Family Residential,3146.32231404,290682.502673,Single Family Residential,387,Single Family Residential,55,1
RM-25,Multiple-Family Residential,539.237103718,13885.3647407,Multiple-Family Residential,388,Multiple-Family Residential,302,2
PUD-HDR,Planned Unit Development - High Density Residential,536.663036354,14612.5647209,Planned Unit Development - High Density Residential,389,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,448.754115438,10359.2949071,Planned Unit Development - High Density Residential,390,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,2225.52071404,183786.80629,Planned Unit Development - High Density Residential,391,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,2034.5600465,86600.5653027,Planned Unit Development - High Density Residential,392,Planned Unit Development - High Density Residential,14,2
PUD-C,Commercial-PUD,2693.3787289,339641.318844,Commercial-PUD,393,Commercial-PUD,6,0
PUD-OS,Planned Unit Development - Open Space,1249.17266159,24836.7013521,Planned Unit Development - Open Space,394,Planned Unit Development - Open Space,260,0
PUD-OS,Planned Unit Development - Open Space,2028.11093564,226543.894167,Planned Unit Development - Open Space,395,Planned Unit Development - Open Space,260,0
PUD-HDR,Planned Unit Development - High Density Residential,4645.01778509,872372.934378,Planned Unit Development - High Density Residential,396,Planned Unit Development - High Density Residential,14,2
PUD-LDR,Low Density Residential,2317.65526925,242006.093216,Low Density Residential,397,Low Density Residential,29,1
PUD-LDR,Low Density Residential,1646.80792068,173398.880316,Low Density Residential,398,Low Density Residential,29,1
PUD-HDR,Planned Unit Development - High Density Residential,474.704909219,10905.7606639,Planned Unit Development - High Density Residential,399,Planned Unit Development - High Density Residential,14,2
PUD-MDR,Planned Unit Development - Medium Density Residential,2097.57466328,182636.456289,Planned Unit Development - Medium Density Residential,400,Planned Unit Development - Medium Density Residential,40,1
