DATA,DATA_TY,Shp_Lng,Shap_Ar,gnrl_p_,id,edt_g__,zoningd,zoning
PUD-C-S,Commercial Service-PUD,873.848917471,42723.3143437,Commercial Service-PUD,532,Commercial Service-PUD,167,0
PUD-C-C,Central Commercial-PUD,1905.90302395,218781.993641,Central Commercial-PUD,533,Central Commercial-PUD,157,0
PUD-C-S,Commercial Service-PUD,983.303529195,58511.5039532,Commercial Service-PUD,534,Commercial Service-PUD,167,0
C-S,Commercial Service,7585.7065596,618858.969103,Commercial Service,535,Commercial Service,109,0
C-C,Commercial Central,3298.24840099,694930.501715,Commercial Central,536,Commercial Central,65,0
PUD-C-C,Central Commercial-PUD,2341.42521109,253296.947661,Central Commercial-PUD,537,Central Commercial-PUD,157,0
U,Unincorporated,51489.1600424,70434718.8536,Unincorporated,538,Unincorporated,112,3
PUD-LDR,Low Density Residential,4657.31351487,882238.217978,Low Density Residential,539,Low Density Residential,29,1
PUD-LDR,Low Density Residential,2298.02540136,237321.233326,Low Density Residential,540,Low Density Residential,29,1
PUD-MDR,Planned Unit Development - Medium Density Residential,3615.67356141,680122.785716,Planned Unit Development - Medium Density Residential,541,Planned Unit Development - Medium Density Residential,40,1
PUD-LDR,Low Density Residential,1664.01384561,168147.72466,Low Density Residential,542,Low Density Residential,29,1
PUD-LDR/RDR/OS,Low Density Residential/Rural Density Residential/Open Space-PUD,5834.56434761,1278328.25877,Low Density Residential/Rural Density Residential_SingleFam,543,Low Density Residential/Rural Density Residential_SingleFam,39,1
PUD-A/RDR,Agriculture/Rural Density Residential-PUD,11470.2626138,3306977.85701,Agriculture/Rural Density Residential-PUD_NonRes,544,Agriculture/Rural Density Residential-PUD_NonRes,573,0
A,Agriculture,1491.35000736,76791.5804183,Agriculture,545,Agriculture,1,0
PUD-A,Agriculture-PUD,7679.89375996,3262699.28286,Agriculture-PUD,546,Agriculture-PUD,149,0
PUD-LDR/OS,Low Density Residential/Open Space-PUD,11236.9501158,5103333.14404,Low Density Residential/Open Space-PUD_NonRes,547,Low Density Residential/Open Space-PUD_NonRes,994,0
A,Agriculture,10268.8632212,4886876.15703,Agriculture_Remove,548,Agriculture_Remove,577,3
PUD-OS/A,"Open Space, Agriculture -PUD",8289.37888385,992424.74779,"Open Space, Agriculture -PUD",549,"Open Space, Agriculture -PUD",578,0
A,Agriculture,15539.3139788,9509733.87688,Agriculture,550,Agriculture,1,0
A,Agriculture,13639.0059096,9557192.27282,Agriculture,551,Agriculture,1,0
PUD-LDR,Low Density Residential,18327.4954376,13507219.0484,Low Density Residential,552,Low Density Residential,29,1
PUD,PUD,8429.76040017,2680481.56991,PUD_NonRes,553,PUD_NonRes,998,0
PUD,PUD,14388.9457899,8516328.38259,PUD_NonRes,554,PUD_NonRes,998,0
PUD-TC,Transportation Corridor,10645.5996285,522541.848009,Transportation Corridor,555,Transportation Corridor,584,0
U,Unincorporated,9324.93259575,4510200.98559,Unincorporated,556,Unincorporated,112,3
PUD-LDR/RDR/OS-PHS/WO,Planned Unit Development - Low Density Residential/Rural Density Residential/Open Space - Public Health and Safety/Wildland Overlay,12537.8602207,8621908.62067,Planned Unit Development - Low Density Residential/Rural Den,557,Planned Unit Development - Low Density Residential/Rural Den,586,1
U,Unincorporated,88033.0305018,226309519.111,Unincorporated,558,Unincorporated,112,3
PUD-LDR,Low Density Residential,2223.1907413,163955.892741,Low Density Residential,559,Low Density Residential,29,1
PUD-MDR,Planned Unit Development - Medium Density Residential,2774.84840564,303929.236115,Planned Unit Development - Medium Density Residential,560,Planned Unit Development - Medium Density Residential,40,1
PUD-OS,Planned Unit Development - Open Space,2709.70319879,151635.452629,Planned Unit Development - Open Space,561,Planned Unit Development - Open Space,260,0
PUD-VINEYARD,Vineyard-PUD,3046.24974935,409667.556476,Vineyard-PUD,562,Vineyard-PUD,269,0
PUD-MDR,Planned Unit Development - Medium Density Residential,3693.85931713,386912.322635,Planned Unit Development - Medium Density Residential,563,Planned Unit Development - Medium Density Residential,40,1
PUD-LDR,Low Density Residential,1660.64678782,153572.086535,Low Density Residential,564,Low Density Residential,29,1
PUD-LDR,Low Density Residential,12007.5268902,987139.265864,Low Density Residential,565,Low Density Residential,29,1
PUD-SRDR,Semi-Rural Residential,6311.02865832,1555693.77928,Semi-Rural Residential,566,Semi-Rural Residential,465,1
PUD-A,Agriculture-PUD,3409.77418369,311326.745055,Agriculture-PUD,567,Agriculture-PUD,149,0
PUD-LDR,Low Density Residential,1475.80157076,80664.5164117,Low Density Residential,568,Low Density Residential,29,1
PUD-MDR,Planned Unit Development - Medium Density Residential,1788.5298359,55373.9719206,Planned Unit Development - Medium Density Residential,569,Planned Unit Development - Medium Density Residential,40,1
PUD-A,Agriculture-PUD,874.700867415,43986.8407868,Agriculture-PUD,570,Agriculture-PUD,149,0
PUD-LDR,Low Density Residential,971.59882597,55993.7965747,Low Density Residential,571,Low Density Residential,29,1
PUD-LDR/A,Low Density Residential/Agriculture-PUD,1641.18785349,97499.6621986,Low Density Residential/Agriculture-PUD_SingleFamily,572,Low Density Residential/Agriculture-PUD_SingleFamily,602,1
PUD-LDR/A,Low Density Residential/Agriculture-PUD,1934.17362548,111974.581953,Low Density Residential/Agriculture-PUD_SingleFamily,573,Low Density Residential/Agriculture-PUD_SingleFamily,602,1
PUD-LDR/A,Low Density Residential/Agriculture-PUD,7290.85777874,2419041.64753,Low Density Residential/Agriculture-PUD_SingleFamily,574,Low Density Residential/Agriculture-PUD_SingleFamily,602,1
P,Public & Institutional,18147.6012773,11080508.9969,Public & Institutional,575,Public & Institutional,4,0
PUD-A/OS,Agriculture/Open Space-PUD,10645.3012802,4295397.17072,Agriculture/Open Space-PUD_Remove,576,Agriculture/Open Space-PUD_Remove,606,3
PUD-A/OS,Agriculture/Open Space-PUD,20229.080958,9970137.32585,Agriculture/Open Space-PUD,577,Agriculture/Open Space-PUD,496,0
PUD-SRDR,Semi-Rural Residential,24048.1982394,10008888.9533,Semi-Rural Residential_Remove,578,Semi-Rural Residential_Remove,608,3
C-R (p),Commercial Regional (Peripheral Area),15234.5982769,3233838.87994,Commercial Regional (Peripheral Area),579,Commercial Regional (Peripheral Area),609,0
PUD-MU,Planned Unit Development - Mixed Use,2160.29562168,264083.282556,Planned Unit Development - Mixed Use_NonRes,580,Planned Unit Development - Mixed Use_NonRes,159,0
PUD-I/C-O,Planned Unit Development - Industrial/Commercial-Offices,6271.69688805,2263507.64247,Planned Unit Development - Industrial/Commercial-Offices,581,Planned Unit Development - Industrial/Commercial-Offices,25,0
PUD-HDR,Planned Unit Development - High Density Residential,998.204330491,50981.0756587,Planned Unit Development - High Density Residential,582,Planned Unit Development - High Density Residential,14,2
R-1-65,Single Family Residential,350.002498955,6250.56306838,Single Family Residential,583,Single Family Residential,55,1
PUD-RDR/PHS,Rural Density Residential/Public Health & Safety-PUD,7629.1961705,2713308.34194,Rural Density Residential/Public Health & Safety-PUD,584,Rural Density Residential/Public Health & Safety-PUD,626,0
PUD-LDR/OS,Low Density Residential/Open Space-PUD,18179.0761315,11678941.5283,Low Density Residential/Open Space-PUD_SingleFamily,585,Low Density Residential/Open Space-PUD_SingleFamily,225,1
U,Unincorporated,285907.342987,712606781.66,Unincorporated,586,Unincorporated,112,3
PUD-RDR/LDR,Rural Density Residential/Low Density Residential-PUD,6704.69968398,1256933.77172,Rural Density Residential/Low Density Residential-PUD,587,Rural Density Residential/Low Density Residential-PUD,268,1
A,Agriculture,5536.1796187,808763.517784,Agriculture,588,Agriculture,1,0
PUD-MDR,Planned Unit Development - Medium Density Residential,1515.37178688,120374.722998,Planned Unit Development - Medium Density Residential,589,Planned Unit Development - Medium Density Residential,40,1
PUD-MDR,Planned Unit Development - Medium Density Residential,451.582296115,10648.3441871,Planned Unit Development - Medium Density Residential,590,Planned Unit Development - Medium Density Residential,40,1
PUD-LDR/OS,Low Density Residential/Open Space-PUD,1405.2207268,107818.640636,Low Density Residential/Open Space-PUD_SingleFamily,591,Low Density Residential/Open Space-PUD_SingleFamily,225,1
PUD-LDR,Low Density Residential,4286.10549582,764989.303818,Low Density Residential,592,Low Density Residential,29,1
PUD-OS,Planned Unit Development - Open Space,2503.71898352,141915.31615,Planned Unit Development - Open Space,593,Planned Unit Development - Open Space,260,0
PUD-I/C-O,Planned Unit Development - Industrial/Commercial-Offices,51026.3616802,27109103.717,Planned Unit Development - Industrial/Commercial-Offices,594,Planned Unit Development - Industrial/Commercial-Offices,25,0
PUD-MU,Planned Unit Development - Mixed Use,2284.75106429,291327.48839,Planned Unit Development - Mixed Use_NonRes,595,Planned Unit Development - Mixed Use_NonRes,159,0
PUD-MU,Planned Unit Development - Mixed Use,2051.76967652,258119.945648,Planned Unit Development - Mixed Use_NonRes,596,Planned Unit Development - Mixed Use_NonRes,159,0
PUD-MDR,Planned Unit Development - Medium Density Residential,6547.19422275,859182.821826,Planned Unit Development - Medium Density Residential,597,Planned Unit Development - Medium Density Residential,40,1
PUD-C,Commercial-PUD,3005.98014399,544154.65418,Commercial-PUD,598,Commercial-PUD,6,0
PUD,PUD,13693.9713021,8950076.72451,PUD_SingleFamily,599,PUD_SingleFamily,997,1
PUD-MU,Planned Unit Development - Mixed Use,4665.95945991,650483.578819,Planned Unit Development - Mixed Use_NonRes,600,Planned Unit Development - Mixed Use_NonRes,159,0
PUD-MU,Planned Unit Development - Mixed Use,3137.17920913,583593.931115,Planned Unit Development - Mixed Use_NonRes,601,Planned Unit Development - Mixed Use_NonRes,159,0
PUD-MU,Planned Unit Development - Mixed Use,2823.9661129,496258.149324,Planned Unit Development - Mixed Use_NonRes,602,Planned Unit Development - Mixed Use_NonRes,159,0
PUD-MU,Planned Unit Development - Mixed Use,2710.1377845,355433.177653,Planned Unit Development - Mixed Use_NonRes,603,Planned Unit Development - Mixed Use_NonRes,159,0
PUD-I/C-O,Planned Unit Development - Industrial/Commercial-Offices,1132.73978912,35778.4919453,Planned Unit Development - Industrial/Commercial-Offices,604,Planned Unit Development - Industrial/Commercial-Offices,25,0
PUD-MDR,Planned Unit Development - Medium Density Residential,2839.66841974,184192.524952,Planned Unit Development - Medium Density Residential,605,Planned Unit Development - Medium Density Residential,40,1
PUD-LDR/HDR/P&I & Mixed P&I/MDR,Low Density Residential/High Density Residential/Public & Institutional-Mixed Public & Institutional/Medium Density Residential-PUD,1378.36013398,87432.9507876,Low Density Residential/High Density Residential_NonRes,606,Low Density Residential/High Density Residential_NonRes,461,0
PUD-HDR,Planned Unit Development - High Density Residential,1241.27769757,84634.3582951,Planned Unit Development - High Density Residential,607,Planned Unit Development - High Density Residential,14,2
PUD-HDR,Planned Unit Development - High Density Residential,2195.62194236,192029.091968,Planned Unit Development - High Density Residential,608,Planned Unit Development - High Density Residential,14,2
PUD-HDR/C-C,Planned Unit Development - High Density residential/Central Commercial,474.512879239,10922.0160832,Planned Unit Development - High Density residential/Central,609,Planned Unit Development - High Density residential/Central,645,2
PUD-C,Commercial-PUD,2338.44125609,305111.764831,Commercial-PUD,610,Commercial-PUD,6,0
PUD-C-O,Planned Unit Development - Commercial-Office,1740.54309903,92918.7497258,Planned Unit Development - Commercial-Office,611,Planned Unit Development - Commercial-Office,11,0
PUD-C-O,Planned Unit Development - Commercial-Office,950.903051803,46683.7123852,Planned Unit Development - Commercial-Office,612,Planned Unit Development - Commercial-Office,11,0
PUD-C-O,Planned Unit Development - Commercial-Office,951.585475992,43995.1886495,Planned Unit Development - Commercial-Office,613,Planned Unit Development - Commercial-Office,11,0
PUD-C,Commercial-PUD,1085.74244209,76245.58957,Commercial-PUD,614,Commercial-PUD,6,0
PUD-C,Commercial-PUD,960.332097753,56794.7767541,Commercial-PUD,615,Commercial-PUD,6,0
R-1-65,Single Family Residential,19172.3312786,6513983.94978,Single Family Residential,616,Single Family Residential,55,1
R-1-65,Single Family Residential,10062.6306311,2757204.56087,Single Family Residential,617,Single Family Residential,55,1
PUD-C-O,Planned Unit Development - Commercial-Office,404.198186382,9798.94406398,Planned Unit Development - Commercial-Office,618,Planned Unit Development - Commercial-Office,11,0
MU-T,Mixed Use Transitional,544.56475485,17246.8687108,Mixed Use Transitional,619,Mixed Use Transitional,128,0
MU-T,Mixed Use Transitional,774.705396496,28053.2399276,Mixed Use Transitional,620,Mixed Use Transitional,128,0
MU-T,Mixed Use Transitional,273.578802785,4306.30168234,Mixed Use Transitional,621,Mixed Use Transitional,128,0
MU-T,Mixed Use Transitional,349.0141229,7000.32959056,Mixed Use Transitional,622,Mixed Use Transitional,128,0
MU-T,Mixed Use Transitional,495.686547597,13011.3271576,Mixed Use Transitional,623,Mixed Use Transitional,128,0
PUD-LDR/MDR,Low Density Residential/Medium Density Residential-PUD,3023.54817463,458909.607602,Low Density Residential/Medium Density Residential_NonRes,624,Low Density Residential/Medium Density Residential_NonRes,661,0
PUD-LDR/MDR,Low Density Residential/Medium Density Residential-PUD,4647.03650248,970609.437074,Low Density Residential/Medium Density Residential_SingleFam,625,Low Density Residential/Medium Density Residential_SingleFam,662,1
PUD-LDR/MDR,Low Density Residential/Medium Density Residential-PUD,3506.08840123,733773.77024,Low Density Residential/Medium Density Residential_SingleFam,626,Low Density Residential/Medium Density Residential_SingleFam,662,1
PUD-RDR,Planned Unit Development - Rural Density Residential,2088.58919145,204276.556176,Planned Unit Development - Rural Density Residential,627,Planned Unit Development - Rural Density Residential,512,1
PUD-OS,Planned Unit Development - Open Space,2650.215478,131018.121157,Planned Unit Development - Open Space,628,Planned Unit Development - Open Space,260,0
PUD-MDR,Planned Unit Development - Medium Density Residential,1109.7688897,67758.1442855,Planned Unit Development - Medium Density Residential,629,Planned Unit Development - Medium Density Residential,40,1
PUD-C,Commercial-PUD,1600.68996636,157873.37059,Commercial-PUD,630,Commercial-PUD,6,0
PUD-C,Commercial-PUD,2102.39795716,237933.656645,Commercial-PUD,631,Commercial-PUD,6,0
PUD-MU,Planned Unit Development - Mixed Use,460.020626548,12628.7747527,Planned Unit Development - Mixed Use_NonRes,632,Planned Unit Development - Mixed Use_NonRes,159,0
MU-T,Mixed Use Transitional,640.148525893,21424.9201843,Mixed Use Transitional,633,Mixed Use Transitional,128,0
RM-15,Multiple-Family Residential,1165.61692653,23527.5173124,Multiple-Family Residential,634,Multiple-Family Residential,302,2
PUD-HR/OS,Planned Unit Development - Hillside Residential/Open Space,12307.4121801,1866460.13891,Planned Unit Development - Hillside Residential_SingleFamily,635,Planned Unit Development - Hillside Residential_SingleFamily,535,1
PUD-HR/OS,Planned Unit Development - Hillside Residential/Open Space,1662.61092994,134484.850268,Planned Unit Development - Hillside Residential_SingleFamily,636,Planned Unit Development - Hillside Residential_SingleFamily,535,1
PUD-C,Commercial-PUD,8731.78001916,1781816.59076,Commercial-PUD,637,Commercial-PUD,6,0
PUD-MDR,Planned Unit Development - Medium Density Residential,2617.87136139,389895.303552,Planned Unit Development - Medium Density Residential,638,Planned Unit Development - Medium Density Residential,40,1
PUD-MU,Planned Unit Development - Mixed Use,1160.17885541,47212.2231689,Planned Unit Development - Mixed Use_NonRes,639,Planned Unit Development - Mixed Use_NonRes,159,0
PUD-MU,Planned Unit Development - Mixed Use,4540.82923095,1081955.8055,Planned Unit Development - Mixed Use_NonRes,640,Planned Unit Development - Mixed Use_NonRes,159,0
PUD-C,Commercial-PUD,977.045818068,55858.5099875,Commercial-PUD,641,Commercial-PUD,6,0
PUD-LDR,Low Density Residential-PUD,2378.07115099,330710.575743,Low Density Residential-PUD,642,Low Density Residential-PUD,675,1
PUD-C-C,Central Commercial-PUD,1683.69072676,94948.107494,Central Commercial-PUD,643,Central Commercial-PUD,157,0
PUD-I,Industrial-PUD,1706.8141882,186935.969543,Industrial-PUD,644,Industrial-PUD,210,0
PUD-I,Industrial-PUD,3826.14523164,436354.713505,Industrial-PUD,645,Industrial-PUD,210,0
PUD-LDR/A,Low Density Residential/Agriculture-PUD,8163.63112077,297794.546932,Low Density Residential/Agriculture-PUD_SingleFamily,646,Low Density Residential/Agriculture-PUD_SingleFamily,602,1
P,Public & Institutional,541.585081461,17134.8343808,Public & Institutional,647,Public & Institutional,4,0
RM-40,Multiple-Family Residential,661.835186227,12637.7178046,Multiple-Family Residential,648,Multiple-Family Residential,302,2
RM-40,Multiple-Family Residential,441.327518709,12045.773265,Multiple-Family Residential,649,Multiple-Family Residential,302,2
MU-T,Mixed Use Transitional,585.808191006,13651.7629663,Mixed Use Transitional,650,Mixed Use Transitional,128,0
MU-T,Mixed Use Transitional,238.972474715,3270.91223655,Mixed Use Transitional,651,Mixed Use Transitional,128,0
MU-T,Mixed Use Transitional,270.997532181,4529.90961415,Mixed Use Transitional,652,Mixed Use Transitional,128,0
MU-T,Mixed Use Transitional,291.929781542,5013.60653883,Mixed Use Transitional,653,Mixed Use Transitional,128,0
MU-T,Mixed Use Transitional,465.364998243,9209.30519086,Mixed Use Transitional,654,Mixed Use Transitional,128,0
MU-T,Mixed Use Transitional,520.339630778,15623.6860767,Mixed Use Transitional,655,Mixed Use Transitional,128,0
MU-T,Mixed Use Transitional,355.744167215,6295.37981644,Mixed Use Transitional,656,Mixed Use Transitional,128,0
MU-T,Mixed Use Transitional,188.595993886,0.27855923116,Mixed Use Transitional,657,Mixed Use Transitional,128,0
MU-T,Mixed Use Transitional,495.735239246,9425.01337758,Mixed Use Transitional,658,Mixed Use Transitional,128,0
C-C,Commercial Central,125.016910405,0.19450509357,Commercial Central,659,Commercial Central,65,0
P,Public & Institutional,1526.91167275,51293.6707783,Public & Institutional,660,Public & Institutional,4,0
MU-T,Mixed Use Transitional,357.51627013,6957.9610401,Mixed Use Transitional,661,Mixed Use Transitional,128,0
P,Public and Institutional,482.947963688,14333.0672003,Public and Institutional,662,Public and Institutional,707,0
MU-T,Mixed Use Transitional,425.496861754,9436.01178098,Mixed Use Transitional,663,Mixed Use Transitional,128,0
C-C,Commercial Central,2.63184170598,1.0908894e-4,Commercial Central,664,Commercial Central,65,0
MU-T,Mixed Use Transitional,366.263096946,4486.3694337,Mixed Use Transitional,665,Mixed Use Transitional,128,0
MU-D,Mixed Used Downtown,229.9621067,2147.93655688,Mixed Used Downtown,666,Mixed Used Downtown,698,0
MU-D,Mixed Used Downtown,655.422352913,19094.5674011,Mixed Used Downtown,667,Mixed Used Downtown,698,0
MU-D,Mixed Used Downtown,1051.62234837,70986.8209049,Mixed Used Downtown,668,Mixed Used Downtown,698,0
MU-D,Mixed Used Downtown,1097.42376523,56936.8084754,Mixed Used Downtown,669,Mixed Used Downtown,698,0
MU-T,Mixed Use Transitional,412.708531838,7822.05115981,Mixed Use Transitional,670,Mixed Use Transitional,128,0
C-C,Commercial Central,54.5735999984,0.40631382168,Commercial Central,671,Commercial Central,65,0
MU-T,Mixed Use Transitional,335.064467199,4324.92007866,Mixed Use Transitional,672,Mixed Use Transitional,128,0
P,Public & Institutional,576.018130712,10911.4723383,Public & Institutional,673,Public & Institutional,4,0
P,Public & Institutional,466.190501159,12794.6746182,Public & Institutional,674,Public & Institutional,4,0
P,Public & Institutional,1740.4612902,62082.9827152,Public & Institutional,675,Public & Institutional,4,0
P,Public & Institutional,850.544999745,26270.132566,Public & Institutional,676,Public & Institutional,4,0
P,Public & Institutional,786.28947838,23860.7977659,Public & Institutional,677,Public & Institutional,4,0
P,Public & Institutional,900.001590459,34999.7566984,Public & Institutional,678,Public & Institutional,4,0
MU-T,Mixed Use Transitional,415.375730836,7785.74280476,Mixed Use Transitional,679,Mixed Use Transitional,128,0
MU-T,Mixed Use Transitional,289.853531125,4286.167149,Mixed Use Transitional,680,Mixed Use Transitional,128,0
MU-T,Mixed Use Transitional,232.504184798,1574.9300945,Mixed Use Transitional,681,Mixed Use Transitional,128,0
MU-T,Mixed Use Transitional,166.765254906,1573.06488916,Mixed Use Transitional,682,Mixed Use Transitional,128,0
MU-T,Mixed Use Transitional,120.588057654,333.225081485,Mixed Use Transitional,683,Mixed Use Transitional,128,0
MU-T,Mixed Use Transitional,187.153863653,477.137766748,Mixed Use Transitional,684,Mixed Use Transitional,128,0
C-C,Commercial Central,177.824275845,1490.74971522,Commercial Central,685,Commercial Central,65,0
MU-D,Mixed Used Downtown,1066.97719865,67003.552868,Mixed Used Downtown,686,Mixed Used Downtown,698,0
MU-D,Mixed Used Downtown,663.906008795,6236.47935105,Mixed Used Downtown,687,Mixed Used Downtown,698,0
MU-D,Mixed Used Downtown,765.777694669,30338.1357611,Mixed Used Downtown,688,Mixed Used Downtown,698,0
C-C,Central Commercial,597.065860106,16911.4358649,Central Commercial,689,Central Commercial,710,0
C-S,Commercial Service,210.937616276,0.41353134739,Commercial Service,690,Commercial Service,109,0
C-C,Commercial Central,597.106160961,16913.4808804,Commercial Central,691,Commercial Central,65,0
C-C,Commercial Central,298.559418034,4228.62568195,Commercial Central,692,Commercial Central,65,0
C-S,Commercial Service,75.9988194344,0.34489017174,Commercial Service,693,Commercial Service,109,0
C-C,Commercial Central,298.573781319,4228.95550151,Commercial Central,694,Commercial Central,65,0
A,Agriculture,754.342746095,34722.3501432,Agriculture,695,Agriculture,1,0
A,Agriculture,510.98091207,12730.1152858,Agriculture,696,Agriculture,1,0
A,Agriculture,490.087887664,9744.20395233,Agriculture,697,Agriculture,1,0
C-S,Commercial Service,307.615022859,0.96138154169,Commercial Service,698,Commercial Service,109,0
P,Public & Institutional,1049.15552329,20778.6574112,Public & Institutional,699,Public & Institutional,4,0
P,Public & Institutional,95.6255355947,0.04460581454,Public & Institutional,700,Public & Institutional,4,0
P,Public & Institutional,710.17076265,0.89730405776,Public & Institutional,701,Public & Institutional,4,0
P,Public & Institutional,937.035450119,19901.3949048,Public & Institutional,702,Public & Institutional,4,0
C-C,Commercial Central,196.888608545,2018.99658249,Commercial Central,703,Commercial Central,65,0
P,Public & Institutional,1293.00736692,54854.53871,Public & Institutional,704,Public & Institutional,4,0
P,Public & Institutional,999.065644398,39106.3134629,Public & Institutional,705,Public & Institutional,4,0
C-C,Commercial Central,6.21703780511,7.2016226e-4,Commercial Central,706,Commercial Central,65,0
C-C,Commercial Central,248.621826594,0.05745950513,Commercial Central,707,Commercial Central,65,0
P,Public & Institutional,1505.92705532,64843.4783967,Public & Institutional,708,Public & Institutional,4,0
A,Agriculture,366.860775461,7103.3653113,Agriculture,709,Agriculture,1,0
P,Public & Institutional,1095.11234664,43661.7950873,Public & Institutional,710,Public & Institutional,4,0
A,Agriculture,377.577576553,8299.9033064,Agriculture,711,Agriculture,1,0
C-C,Commercial Central,13975.6259081,2292041.14932,Commercial Central,712,Commercial Central,65,0
PUD,PUD,8429.76040017,2680481.56991,PUD_NonRes,713,PUD_NonRes,998,0
PUD,PUD,8429.76040017,2680481.56991,PUD_SingleFamily,714,PUD_SingleFamily,997,1
PUD,PUD,13693.9713021,8950076.72451,PUD_NonRes,715,PUD_NonRes,998,0
PUD,PUD,14388.9457899,8516328.38259,PUD_SingleFamily,716,PUD_SingleFamily,997,1
PUD-LDR/OS,Low Density Residential/Open Space-PUD,6602.05524006,2331472.97919,Low Density Residential/Open Space-PUD_NonRes,717,Low Density Residential/Open Space-PUD_NonRes,994,0
PUD-LDR/HDR/P&I & Mixed P&I/MDR,Low Density Residential/High Density Residential/Public & Institutional-Mixed Public & Institutional/Medium Density Residential-PUD,7277.23406103,2703354.71768,Low Density Residential/High Density Residentia_SingleFamily,718,Low Density Residential/High Density Residentia_SingleFamily,543,1
PUD-LDR/OS,Low Density Residential/Open Space-PUD,6674.4146272,2203488.01611,Low Density Residential/Open Space-PUD_SingleFamily,719,Low Density Residential/Open Space-PUD_SingleFamily,225,1
PUD-A/OS/LDR,Agriculture/Open Space/Low Density Residential-PUD,34767.5745857,50643786.3471,Agriculture/Open Space/Low Density Residential-PUD_NonRes,720,Agriculture/Open Space/Low Density Residential-PUD_NonRes,5,0
PUD-A/RDR,Agriculture/Rural Density Residential-PUD,11470.2626138,3306977.85701,Agriculture/Rural Density Residential-PUD_SingleFam,721,Agriculture/Rural Density Residential-PUD_SingleFam,992,1
PUD-HDR-MDR,High Density Residential & Medium Density Residential-PUD,5493.32450026,752200.696057,High Density Residential & Medium Density_MultiFamily,722,High Density Residential & Medium Density_MultiFamily,991,2
PUD-MDR/LDR/RDR,Medium Density Residential/Low Density Residential/Rural Density Residential-PUD,9677.79490779,4575799.32976,Medium Density Residential/Low Density Residential_SingleFam,723,Medium Density Residential/Low Density Residential_SingleFam,990,1
PUD-MDR/LDR/RDR,Medium Density Residential/Low Density Residential/Rural Density Residential-PUD,9677.79490779,4575799.32976,Medium Density Residential/Low Density Residential_SingleFam,724,Medium Density Residential/Low Density Residential_SingleFam,990,1
PUD-O/HDR,Office/High Density Residential-PUD,2150.34153609,141623.945617,Office/High Density Residential-PUD_MultiFamily,725,Office/High Density Residential-PUD_MultiFamily,12,2
PUD-RDR/LDR/A,Rural Density Residential/Low Density Residential/Agriculture-PUD,15203.8342602,8582499.40354,Rural Density Residential/Low Density Residential/_SingleFam,726,Rural Density Residential/Low Density Residential/_SingleFam,477,1
R-1-65,Single Family Residential,30236.2607802,25811813.197,Single Family Residential,727,Single Family Residential,55,1
