OBJECTID,SHAPESTAre,SHAPESTLen,BaseZone,Zoning
191,28762.5488281,868.7173533421907,R-2-2.5,2
192,4812.94238281,343.4588011417733,R-2-2.5,2
193,99340.2890625,1385.66214817,R-2-2.5,2
194,30769.5029297,945.0232886017443,R-2-2.5,2
195,101.4091796875,40.52543275976079,R-2-2.5,2
196,101.41796875,40.52661021926001,R-2-2.5,2
197,43381.5039063,1149.56942024,R-2-2.5,2
198,127879.688477,1570.28810517,R-2-2.5,2
199,18442.3261719,590.3837011884389,R-2-2.5,2
200,717.70703125,111.285072130604,R-2-2.5,2
201,716.646484375,111.20331100865994,R-2-2.5,2
202,52856.3837891,1290.89128432,R-2-2.5,2
203,5696.03125,343.51512692955475,R-2-2.5,2
204,51611.640625,886.0822701352056,R-2-2.5,2
205,95433.0751953,1396.99029184,R-2-2.5,2
206,26756.2421875,697.5874496565845,R-2-2.5,2
207,173681.709961,2271.49194486,R-2-2.5,2
208,73387.3935547,1092.70699283,R-2-2.5,2
209,70758.1933594,1055.54384906,R-2-2.5,2
210,19318.1591797,731.4390677569886,R-2-2.5,2
211,49945.3447266,1016.86209519,R-2-2.5,2
212,6029.16308594,426.7395171881368,R-2-2.5,2
213,18165.2314453,650.3745427779697,R-2-2.5,2
214,103235.649414,2146.50377251,R-2-2.5,2
215,13889.4101563,536.5779091600677,R-2-2.5,2
216,45731.7275391,1023.35497643,R-2-2.5,2
217,68861.1416016,1626.3713598,R-2-2.5,2
218,130393.141602,2615.54346834,R-2-2.5,2
219,62230.9433594,997.862968656458,R-2-2.5,2
220,196930.443359,2557.06387648,R-2-2.5,2
221,12722.1181641,456.1748198389,R-2-2.5,2
222,38246.5019531,848.8174177727511,R-2-2.5,2
223,217233.085938,2803.85536522,R-2-2.5,2
224,79404.5810547,1689.61941234,R-2-2.5,2
225,60753.3144531,1164.03520034,R-2-5,2
226,12355.1152344,453.0338677098878,R-2-5,2
227,69178.5527344,1298.20215474,R-2-5,2
228,14334.5751953,661.2636783836984,R-2-5,2
229,95721.4443359,2536.89880227,R-2-5,2
230,5840.32226563,316.2444232638561,R-2-5,2
231,13043.3271484,454.4660614153098,R-2-5,2
232,23256.6826172,672.1698111658104,R-2-5,2
233,11911.9169922,428.7623239147806,R-2-5,2
234,8813.74902344,393.05910897452225,R-2-5,2
235,86918.2626953,1793.70687997,R-2-5,2
236,82730.0488281,1376.32389451,R-2-5,2
237,25404.34375,849.7499786158423,R-2-5,2
238,29543.84375,1001.99915638,R-2-5,2
239,17981.6513672,638.9673140386063,R-3,2
240,230571.905273,2482.74067867,R-3,2
241,34299.4873047,751.0628175804958,R-3,2
242,64575.9355469,1027.66619193,R-3,2
243,32386.6337891,811.9584168112917,R-3,2
244,42275.3369141,838.0803048659145,R-3,2
245,32840.1630859,816.2785139401675,R-3,2
246,65012.0292969,1016.55902091,R-3,2
247,64037.2373047,1023.89672144,R-3,2
248,19535.2255859,833.0028683149429,R-3,2
249,235967.011719,3477.78946539,R-3,2
250,160008.355469,2555.80526196,R-3,2
251,58884.6494141,1263.87757346,R-3,2
252,21737.1513672,673.1690045006164,R-3,2
253,63403.953125,1089.82277533,R-3,2
254,85794.5683594,1418.74308391,R-3,2
255,45570.390625,1019.08879086,R-3,2
256,10255.6835938,449.42897398474713,R-3,2
257,87502.765625,1740.02773747,R-3,2
258,36504.8173828,1027.11402121,R-3,2
259,67321.9433594,1087.67413335,R-3,2
260,71205.9882813,1137.43375836,R-3,2
261,72261.3271484,1082.9497108,R-3,2
262,73438.7734375,1089.34349859,R-3,2
263,72342.6855469,1081.96433294,R-3,2
264,71665.8935547,1077.7388989,R-3,2
265,221731.356445,2396.02302818,R-3,2
266,194286.081055,2048.48066707,R-3,2
267,24061.3984375,681.2402624954268,R-3,2
268,165090.62207,1783.79396366,R-3,2
269,7364.55078125,389.42479758826005,R-3,2
270,46025.7509766,943.2203497355322,R-3,2
271,14814.6943359,524.9000565875324,R-A,0
272,4768.96679688,279.2224811031185,W,0
280,7039.7734375,444.80118679043426,W,0
282,44398.0380859,845.4144065657374,W,0
290,143360.517578,3563.58112719,PR,2
291,37134.7597656,973.0029738858831,R-2-2.5,2
292,129576.835938,2101.01969546,R-2-2.5,2
293,235530.566406,3539.34612748,R-2-2.5,2
294,5910.90429688,336.91457366650906,R-3,2
295,3224.90039063,278.65312479220506,R-3,2
296,11536.5507813,489.2957061724745,PP,0
297,24699.8330078,692.1953936217694,CC,0
298,14300.7685547,600.7127171821776,PP,0
299,57856.8720703,1422.12803917,OS,0
34,95403.3769531,1276.73106577,CW,0
35,94852.5361328,1273.76819832,CW,0
36,213218.537109,2182.42936183,H,1
83,863991.973633,4920.63373168,PI,0
96,78059.5830078,1188.22453207,PP,0
273,526545.110352,3549.52398766,W,0
275,95390.3867188,1275.37918668,W,0
284,15565.8037109,873.553511958749,W,0
288,864776.05957,6210.23364846,W,0
289,2302910.10742,9480.90750353,W,0
