id,LAYER,COLOR,LABEL,gnrl_p_,GLOBALI,Shp__Ar,Shp__Ln,MuncplC,edt_g__,zoning
337,EX_ZONE_CP,8,CP,Pedestrian Shopping & Service,a1c83a00-bd19-46ff-9de2-cd958cedf3e8,304589.71875,4879.24837625,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Pedestrian Shopping & Service,0
338,EX_ZONE_PDR,5,PDR,Planned Development Residential,783f2da6-1752-4368-9137-48a354cfc74b,155391.226563,2022.96770969,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Planned Development Residential_SF,1
339,EX_ZONE_LDR,2,LDR,Low Density Residential,07dd5cdf-d60a-49fe-8e36-4974a2e28a9e,45167.796875,869.335071486028,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Low Density Residential,1
340,EX_ZONE_CW,140,CW,Waterfront Shopping & Service,389c94be-334c-4f04-9352-d9cb3c44665c,39784.1640625,1013.88084092,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Waterfront Shopping & Service,0
341,EX_ZONE_CN,5,CN,Neighborhood Shopping & Service,8712133d-e119-45f7-a8e8-f0298aa1e088,8819.06640625,376.853754029414,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Neighborhood Shopping & Service,0
342,EX_ZONE_MDR,41,MDR,Medium Density Residential,3df6d347-7a47-4fdf-853f-3dfc05a6f9c1,335576.90625,2952.44759098,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Medium Density Residential,2
343,EX_ZONE_HDR,5,HDR,High Density Residential,e6bf6eb5-4a0e-47c5-9ca0-4b29abcc19de,42926.3085938,1237.04634818,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,High Density Residential,2
344,EX_ZONE_PF,1,PF,Public Facilities,421a8269-bc47-45e6-9ec2-6a2651e4d549,6244.03515625,472.428086112733,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Public Facilities,0
345,EX_ZONE_COUNTY,5,COUNTY,Solano County,48d0a769-5ff2-41e4-8d9a-fd58670b40db,2008803.01172,7819.11450188,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Solano County,3
346,EX_ZONE_COUNTY,5,COUNTY,Solano County,edf7dc24-217b-4243-a58f-5a93c941ceca,523150.710938,3674.02476067,https://library.municode.com/ca/vallejo/codes/code_of_ordinances,Solano County,3
