id,general_pl,Zoning
268,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
269,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
270,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
271,"RESIDENTIAL- HOUSE, ONE FAMILY-OS",1
272,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
273,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
274,"RESIDENTIAL- HOUSE, ONE FAMILY-55-X",1
275,"RESIDENTIAL- HOUSE, ONE FAMILY-OS",1
276,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
277,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
278,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
279,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
280,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
281,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
282,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
283,"RESIDENTIAL- HOUSE, ONE FAMILY-50-X",1
284,"RESIDENTIAL- HOUSE, ONE FAMILY-50-X",1
285,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
286,PUBLIC-40-X,NA
287,PUBLIC-40-X,NA
288,PUBLIC-40-X,NA
289,PUBLIC-40-X,NA
290,PUBLIC-OS,NA
291,PUBLIC-OS,NA
292,PUBLIC-40-X,NA
293,PUBLIC-40-X,NA
294,"NEIGHBORHOOD COMMERCIAL, SHOPPING CENTER-80-B",NA
295,"NEIGHBORHOOD COMMERCIAL, SHOPPING CENTER-40-X",NA
296,"NEIGHBORHOOD COMMERCIAL, SHOPPING CENTER-40-X",NA
297,"NEIGHBORHOOD COMMERCIAL, SHOPPING CENTER-40-X",NA
298,"NEIGHBORHOOD COMMERCIAL, SHOPPING CENTER-40-X",NA
299,"NEIGHBORHOOD COMMERCIAL, SHOPPING CENTER-40-X",NA
300,"NEIGHBORHOOD COMMERCIAL, SHOPPING CENTER-40-X",NA
301,"NEIGHBORHOOD COMMERCIAL, SHOPPING CENTER-40-X",NA
302,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE-40-X",NA
303,PUBLIC-40-X,NA
304,PUBLIC-40-X,NA
305,PUBLIC-OS,NA
306,PUBLIC-130-D,NA
307,PUBLIC-40-X,NA
308,PUBLIC-40-X,NA
309,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE-50-X",NA
310,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE-65-A",NA
311,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE-130-V",NA
312,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE-105-E",NA
313,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE-50-X",NA
314,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE-130-E",NA
315,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE-65-A",NA
316,PUBLIC-OS,NA
317,PUBLIC-OS,NA
318,PUBLIC-40-X,NA
319,PUBLIC-40-X,NA
320,PUBLIC-40-X,NA
321,PUBLIC-CP,NA
322,PUBLIC-40-X,NA
323,PUBLIC-40-X,NA
324,PUBLIC-OS,NA
325,PUBLIC-40-X,NA
326,PUBLIC-OS,NA
327,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE-65-A",NA
328,PUBLIC-OS,NA
329,PUBLIC-40-X,NA
330,PUBLIC-40-X,NA
331,PUBLIC-40-X,NA
332,PUBLIC-HP,NA
333,PUBLIC-40-X,NA
334,PUBLIC-40-X,NA
335,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE-40-X",NA
336,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE-40-X",NA
337,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE-40-X",NA
338,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE-40-X",NA
339,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE-40-X",NA
340,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE-40-X",NA
341,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE-40-X",NA
342,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE-40-X",NA
343,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE-40-X",NA
344,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE-45-X",NA
345,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE-40-X",NA
346,"RESIDENTIAL- HOUSE, ONE FAMILY-OS",1
347,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
348,"RESIDENTIAL- HOUSE, ONE FAMILY-OS",1
349,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
350,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
351,"RESIDENTIAL- HOUSE, ONE FAMILY-OS",1
352,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
353,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE-65-A",NA
354,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE-40-X",NA
355,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE-65-A",NA
356,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE-50-X",NA
357,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE-50-X",NA
358,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE-50-X",NA
359,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE-40-X",NA
360,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE-50-X",NA
361,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
362,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
363,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
364,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
365,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
366,"RESIDENTIAL- HOUSE, ONE FAMILY-40-X",1
