general_pl,city_name,id,Zoning
U,albany,287,9
U,albany,288,9
U,albany,289,0
U,albany,290,9
U,albany,291,9
U,albany,292,9
U,albany,293,9
U,albany,294,0
U,albany,295,9
U,albany,296,9
U,albany,297,9
U,albany,298,9
U,albany,299,9
U,albany,300,9
U,albany,301,0
U,albany,302,0
U,albany,303,9
U,albany,304,9
U,albany,305,0
U,albany,306,9
U,albany,307,9
U,albany,308,9
U,albany,309,0
WF,albany,310,3
PF,albany,311,0
PF,albany,312,0
SPC,albany,313,0
R-3,albany,314,2
R-1,albany,38,1
R-1,albany,40,1
U,albany,302,9
