ZoneCode,Shape_Leng,Shape_Area,Zoning
NM,1041.91865007,65033.0847237,2
NM,1085.89292093,56672.2509591,2
NM,639.0097972,19846.6862788,2
NM,1077.64970602,56128.5523493,2
NM,1363.85842647,52398.2043662,2
NM,1581.3284407,42313.7434485,2
NM,1171.19364201,84969.4678492,2
NM,583.276618284,23975.4516911,2
NM,564.200337231,17534.4727743,2
NM,2316.21513594,282420.327348,2
NM,859.184778221,36780.5963119,2
NM,941.708832736,56377.8976528,2
NM,289.208691522,4854.4955687,2
NM,784.389710924,38501.501837,2
NM,8130.65773676,427407.867663,2
NM,2141.6269091999998,220525.992966,2
NM,1460.39642778,81022.4649199,2
NM,1211.87874375,70610.885168,2
NM,2780.38660503,107886.928911,2
NM,2946.08047392,239436.295325,2
NU,1602.81774277,124195.589828,2
NU,436.128919732,12147.4912049,2
NU,1778.57938559,162077.289021,2
NU,1503.51904509,51018.0935606,2
NU,529.706740399,15369.4541858,2
NU,776.196807306,22556.7864565,2
NU,529.191094368,16555.3958967,2
NU,784.271554919,35149.4819589,2
NU,652.492605638,14817.4930413,2
NU,2465.81957877,345343.761622,2
NU,659.983937242,21599.2724648,2
NU,1145.32934252,51455.3995654,2
NU,1043.94929322,42186.9446061,2
NU,1056.49640293,43310.4700755,2
NU,1586.24537966,130032.637574,2
NU,1737.42727511,193241.769025,2
NU,1091.36791528,64340.7747979,2
OSR,922.600595232,23546.6176691,NA
OSR,2605.69345973,376080.289009,NA
OSR,1059.14719375,48199.8158529,NA
OSR,651.961486137,9356.53542476,NA
OSR,2303.08310939,229109.627131,NA
OSR,360.886116856,6609.92258564,NA
OSR,385.005558153,7303.30449811,NA
OSR,1388.34080767,97717.9586975,NA
OSR,358.686826372,6599.63227274,NA
OSR,352.052279641,6395.45988977,NA
OSR,388.902208968,7483.83580457,NA
OSR,364.337531114,6685.2551976,NA
OSR,1931.689792,149510.768034,NA
OSR,1203.11936466,42263.3422855,NA
OSR,901.095695703,15478.2233441,NA
OSR,894.600361778,40631.3421885,NA
PF,959.757486404,51390.5813301,NA
PF,1321.32866173,70680.7452481,NA
PF,3066.7420256,304398.092187,NA
PF,1737.1638589,174252.938573,NA
RR,2882.59169832,502585.466002,1
RR,2829.16620211,488601.809176,1
RR,8835.87972167,2122342.78413,1
RR,7585.16571112,2066865.09112,1
RR,2481.87213379,299898.477973,1
RVL,8144.22148569,1347487.27597,1
RVL,5185.95781082,694447.900101,1
RVL,6542.29113312,651457.387137,1
RVL,4923.72593198,1301322.29299,1
RVL,2657.68347523,198239.129983,1
RVL,1980.0281277,170134.459917,1
RVL,2279.87058256,103447.337211,1
RVL,1638.22444012,73791.7514303,1
RVL,3287.60201563,462073.854145,1
RVL,1630.83037586,114472.813126,1
RVL,2500.50482083,390553.546141,1
SPD,1019.5783907,55784.55255,NA
SPD,1347.99632735,111849.062836,NA
SPD,487.133816125,10824.8769161,NA
SPD,1791.65281967,98550.0258434,NA
SPD,1551.87083057,74963.8761494,NA
SPD,1788.6077795,89801.8635491,NA
SPD,1430.23474786,70066.5447938,NA
SPD,1384.70716629,62492.8748429,NA
SPD,1429.92365705,68956.0295886,NA
SPD,4407.59361052,989783.996179,NA
SPD,1553.45849633,127184.84743,NA
SPD,3277.02620051,335057.357422,NA
SPD,1618.61578668,124345.241975,NA
SPD,3575.93632953,362142.706632,NA
SPD,962.61098593,49280.2428895,NA
