ZoningDesc,GroupLabel,UnitsPerAc,MinimumLot,MinimumL_1,PlannedDis,NoticingBu,SHAPE_STAr,SHAPE_STLe,BaseZone,Zoning
NA,RS-6 Single Family Residential,0,0,0,NA,0,28057.5986328,719.126104199,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,169720.496094,2413.0859677,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,7681.14648438,351.611026217,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,170924.091797,2229.68098168,RS-6,1
NA,RD-5.5-7 Residential,0,0,0,NA,0,291343.011719,3576.9174445,RD-5.5-7,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,269891.369141,2492.8080606,RS-6,1
NA,CR - Recreational Commercial,0,0,0,NA,0,1133100.09375,4846.06971318,CR,NA
NA,RD-5.5-7 Residential,0,0,0,NA,0,94098.1855469,1816.39100153,RD-5.5-7,1
NA,RD-5.5-7 Residential,0,0,0,NA,0,30947.7226563,842.870637863,RD-5.5-7,1
NA,RD-5.5-7 Residential,0,0,0,NA,0,42190.1142578,824.723440147,RD-5.5-7,1
NA,RD-5.5-7 Residential,0,0,0,NA,0,135096.386719,3101.50420885,RD-5.5-7,1
NA,RD-5.5-7 Residential,0,0,0,NA,0,363412.182617,5201.52185912,RD-5.5-7,1
NA,RD-5.5-7 Residential,0,0,0,NA,0,79248.5302734,1211.49111105,RD-5.5-7,1
NA,RD-5.5-7 Residential,0,0,0,NA,0,135460.310547,2280.80394716,RD-5.5-7,1
NA,RD-5.5-7 Residential,0,0,0,NA,0,150781.680664,2034.81337817,RD-5.5-7,1
NA,RD-5.5-7 Residential,0,0,0,NA,0,37714.3076172,813.384388358,RD-5.5-7,1
NA,RD-5.5-7 Residential,0,0,0,NA,0,322229.979492,4603.96251521,RD-5.5-7,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,154702.067383,2170.95657652,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,201120.884766,3744.02800584,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,121734.948242,2230.59611036,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,51773.8115234,1313.23673136,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,742.6640625,105.965072699,RS-6,1
NA,RD-5.5-7 Residential,0,0,0,NA,0,44600.7333984,1126.41851546,RD-5.5-7,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,113560.870117,2515.88681061,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,37579.109375,941.497728498,RS-6,1
NA,RM Multi-Family Residential,0,0,0,NA,0,7254.93261719,354.184845587,RM,2
NA,CH - Highway Commercial,0,0,0,NA,0,9785.79589844,397.519702524,CH,NA
NA,RS-6 Single Family Residential,0,0,0,NA,0,51547.1396484,1033.7254506,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,50478.4541016,1180.53379622,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,16186.78125,806.697765278,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,1699814.5498,5854.75966914,RS-6,1
NA,RM Multi-Family Residential,0,0,0,NA,0,30169.7851563,783.214335136,RM,2
NA,RS-6 Single Family Residential,0,0,0,NA,0,8389.0625,357.102939073,RS-6,1
NA,RS-6 Single Family Residential,0,0,0,NA,0,16064.0498047,521.749488462,RS-6,1
NA,RS-7.5 Single Family Residential,0,0,0,NA,0,684946.049805,8489.75109382,RS-7.5,1
NA,RS-7.5 Single Family Residential,0,0,0,NA,0,510094.325195,7083.28020841,RS-7.5,1
NA,CS - Service Commercial,0,0,0,NA,0,104255.84668,1571.98619213,CS,NA
NA,CS - Service Commercial,0,0,0,NA,0,60991.3574219,1312.95278111,CS,NA
