gnrl_p_,id,edt_g__,zoning
701 - Low density residential (less than 4.5 units/Gr. acre),275,701 - Low density residential (less than 4.5 units/Gr. acre),1
701 - Low density residential (less than 4.5 units/Gr. acre),276,701 - Low density residential (less than 4.5 units/Gr. acre),1
701 - Low density residential (less than 4.5 units/Gr. acre),277,701 - Low density residential (less than 4.5 units/Gr. acre),1
701 - Low density residential (less than 4.5 units/Gr. acre),278,701 - Low density residential (less than 4.5 units/Gr. acre),1
701 - Low density residential (less than 4.5 units/Gr. acre),279,701 - Low density residential (less than 4.5 units/Gr. acre),1
701 - Low density residential (less than 4.5 units/Gr. acre),280,701 - Low density residential (less than 4.5 units/Gr. acre),1
701 - Low density residential (less than 4.5 units/Gr. acre),281,701 - Low density residential (less than 4.5 units/Gr. acre),1
701 - Low density residential (less than 4.5 units/Gr. acre),282,701 - Low density residential (less than 4.5 units/Gr. acre),1
701 - Low density residential (less than 4.5 units/Gr. acre),283,701 - Low density residential (less than 4.5 units/Gr. acre),1
701 - Low density residential (less than 4.5 units/Gr. acre),284,701 - Low density residential (less than 4.5 units/Gr. acre),1
701 - Low density residential (less than 4.5 units/Gr. acre),285,701 - Low density residential (less than 4.5 units/Gr. acre),1
701 - Low density residential (less than 4.5 units/Gr. acre),286,701 - Low density residential (less than 4.5 units/Gr. acre),1
701 - Low density residential (less than 4.5 units/Gr. acre),287,701 - Low density residential (less than 4.5 units/Gr. acre),1
701 - Low density residential (less than 4.5 units/Gr. acre),288,701 - Low density residential (less than 4.5 units/Gr. acre),1
701 - Low density residential (less than 4.5 units/Gr. acre),289,701 - Low density residential (less than 4.5 units/Gr. acre),1
701 - Low density residential (less than 4.5 units/Gr. acre),290,701 - Low density residential (less than 4.5 units/Gr. acre),1
701 - Low density residential (less than 4.5 units/Gr. acre),291,701 - Low density residential (less than 4.5 units/Gr. acre),1
701 - Low density residential (less than 4.5 units/Gr. acre),292,701 - Low density residential (less than 4.5 units/Gr. acre),1
701 - Low density residential (less than 4.5 units/Gr. acre),293,701 - Low density residential (less than 4.5 units/Gr. acre),1
701 - Low density residential (less than 4.5 units/Gr. acre),294,701 - Low density residential (less than 4.5 units/Gr. acre),1
701 - Low density residential (less than 4.5 units/Gr. acre),295,701 - Low density residential (less than 4.5 units/Gr. acre),1
701 - Low density residential (less than 4.5 units/Gr. acre),296,701 - Low density residential (less than 4.5 units/Gr. acre),1
701 - Low density residential (less than 4.5 units/Gr. acre),297,701 - Low density residential (less than 4.5 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),298,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),299,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),300,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),301,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),302,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),303,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),304,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),305,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),306,701 - Low density residential (less than 6 units/Gr. acre),1
701 - Low density residential (less than 6 units/Gr. acre),307,701 - Low density residential (less than 6 units/Gr. acre),1
