Entity,Layer,Color,Linetyp,Elevatn,LineWt,RefName,Symblgy,Red,Green,Blue,Shp_STA,Shp_STL,gnrl_p_,id,edt_g__,zoning
LWPolyline,ZM-RS-7,7,Continuous,0,25,NA,RS-7,255,234,128,1731618.89258,6830.63132998,RS-7,245,RS-7,1
LWPolyline,ZM-RS-10,7,Continuous,0,25,NA,RS-10,250,232,71,1350837.99023,12128.4322784,RS-10,246,RS-10,1
LWPolyline,ZM-RS-10,7,Continuous,0,25,NA,RS-10,250,232,71,1641485.36328,8536.55746971,RS-10,247,RS-10,1
LWPolyline,ZM-RS-10,7,Continuous,0,25,NA,RS-10,250,232,71,369177.091797,3586.09239249,RS-10,248,RS-10,1
LWPolyline,ZM-RS-10,7,Continuous,0,25,NA,RS-10,250,232,71,90163.0800781,1775.19417688,RS-10,249,RS-10,1
LWPolyline,ZM-RS-10,7,Continuous,0,25,NA,RS-10,250,232,71,582260.055664,3854.47810087,RS-10,250,RS-10,1
LWPolyline,ZM-RS-10,7,Continuous,0,25,NA,RS-10,250,232,71,19892.7929688,632.895078571,RS-10,251,RS-10,1
LWPolyline,ZM-RS-10,7,Continuous,0,25,NA,RS-10,250,232,71,1099853.60449,6302.7786857,RS-10,252,RS-10,1
LWPolyline,ZM-RM,7,Continuous,0,25,NA,RM,214,173,92,600445.552734,3249.63724138,RM,253,RM,2
LWPolyline,__ Layer Off No Zone,11,Continuous,0,25,NA,No Zoning Info,0,0,0,359605.499023,2594.935826,SP_SF,254,SP_SF,1
LWPolyline,__ Layer Off No Zone,11,Continuous,0,25,NA,No Zoning Info,0,0,0,194673.082031,2183.44945868,SP_SF,255,SP_SF,1
LWPolyline,ZM-PD,7,Continuous,0,25,NA,PD,189,189,126,342970.918945,4224.78006396,PD_SF,256,PD_SF,1
LWPolyline,ZM-P,7,Continuous,0,25,NA,P,126,189,126,811302.969727,4933.65887354,P,257,P,0
LWPolyline,ZM-RS-10,7,Continuous,0,25,NA,RS-10,250,232,71,4979817.53223,14919.5076016,RS-10,258,RS-10,1
LWPolyline,ZM-RMH,7,Continuous,0,25,NA,RMH,209,156,71,873969.014648,4549.78981491,RMH,259,RMH,2
LWPolyline,ZM-RS-10,7,Continuous,0,25,NA,RS-10,250,232,71,227800.588867,2188.42430749,RS-10,260,RS-10,1
LWPolyline,__ Layer Off No Zone,11,Continuous,0,25,NA,No Zoning Info,0,0,0,84946.5039063,1265.30743469,SP_NonRes,261,SP_NonRes,0
LWPolyline,ZM-PS,7,Continuous,0,25,NA,PS,126,157,189,699894.336914,3694.93874802,PS,262,PS,0
LWPolyline,ZM-PS,7,Continuous,0,25,NA,PS,126,157,189,594021.12793,3205.07356047,PS,263,PS,0
LWPolyline,ZM-PS,7,Continuous,0,25,NA,PS,126,157,189,112077.47168,1337.19165025,PS,264,PS,0
