gnrl_p_,id,city_nm,zoning
108 - Public-Institutional,408,newark,0
108 - Public-Institutional,409,newark,0
108 - Public-Institutional,410,newark,0
108 - Public-Institutional,411,newark,0
108 - Public-Institutional,412,newark,0
108 - Public-Institutional,413,newark,0
108 - Public-Institutional,414,newark,0
108 - Public-Institutional,415,newark,0
108 - Public-Institutional,416,newark,0
108 - Public-Institutional,417,newark,0
108 - Public-Institutional,418,newark,0
108 - Public-Institutional,419,newark,0
108 - Public-Institutional,420,newark,0
108 - Public-Institutional,421,newark,0
108 - Public-Institutional,422,newark,0
108 - Public-Institutional,423,newark,0
108 - Public-Institutional,424,newark,0
108 - Public-Institutional,425,newark,0
108 - Public-Institutional,426,newark,0
108 - Public-Institutional,427,newark,0
108 - Public-Institutional,428,newark,0
108 - Public-Institutional_Multifamily,429,newark,2
108 - Public-Institutional_Multifamily,430,newark,2
108 - Public-Institutional,431,newark,0
108 - Public-Institutional,432,newark,0
108 - Public-Institutional,433,newark,0
108 - Public-Institutional,434,newark,0
108 - Public-Institutional,435,newark,0
108 - Public-Institutional,436,newark,0
108 - Public-Institutional,437,newark,0
108 - Public-Institutional,438,newark,0
108 - Public-Institutional,439,newark,0
108 - Public-Institutional,440,newark,0
108 - Public-Institutional,441,newark,0
108 - Public-Institutional,442,newark,0
108 - Public-Institutional,443,newark,0
108 - Public-Institutional,444,newark,0
108 - Public-Institutional,445,newark,0
108 - Public-Institutional,446,newark,0
108 - Public-Institutional,447,newark,0
108 - Public-Institutional,448,newark,0
108 - Public-Institutional,449,newark,0
108 - Public-Institutional,450,newark,0
108 - Public-Institutional,451,newark,0
108 - Public-Institutional,452,newark,0
108 - Public-Institutional,453,newark,0
108 - Public-Institutional,454,newark,0
108 - Public-Institutional,455,newark,0
108 - Public-Institutional,456,newark,0
108 - Public-Institutional,457,newark,0
108 - Public-Institutional,458,newark,0
108 - Public-Institutional,459,newark,0
108 - Public-Institutional,460,newark,0
108 - Public-Institutional,461,newark,0
108 - Public-Institutional,462,newark,0
108 - Public-Institutional_SingleFamily,463,newark,1
