apn,fld_firm_z,gp_values1,gpz_gen_pl,gpz_z_labe,lot_tot_po,parcelid,prc_legal_,prc_puc_co,prc_situs1,prc_situs_,prc_tax_co,site_addre,Zoning,Area_sqmi
062305020,X,Residential Low Density,RL,R1U,8141.71,23-4247,LOT 124 & NELY 7 FT OF LOT 125 THE WILLOWS MAP NO 5    RSM 25/37 38,01,94025,MENLO PARK,008,212 MARMONA DR,1,4.63479190793e-4
062332040,X,Residential Low Density,RL,R1U,5774.12,23-4377,LOT 334 THE WILLOWS MAP NO 7 RSM 29/9,01,94025,MENLO PARK,008,216 LEXINGTON DR,1,3.29294166104e-4
062272650,X(S),Commercial Retail,CR,C4,16375.07,23-3982,.37 AC MOL ON MIDDLEFIELD RD COM 104.30 FT SELY FRM    SANTA MARGARITA AVE PTN OF LOTS 13 & 14 ALCORN TRACT   RSM 2/96,19,94025,MENLO PARK,008,150 MIDDLEFIELD RD,0,9.33853202237e-4
062305190,X,Residential Low Density,RL,R1U,5519.69,23-4324,LOT 281 THE WILLOWS MAP NO 7 RSM 29/9,01,94025,MENLO PARK,008,211 LEXINGTON DR,1,3.14784127988e-4
061412100,X,Residential Medium Density,RM,R3,8528.42,23-4958,LOT 6 MENLO SQUARE RSM 26/34 CITY OF MENLO PARK,05,94025,MENLO PARK,008,1035 NOEL DR A,2,4.86419810491e-4
062302080,AE,Residential Low Density,RL,R1U,6133.28,23-4288,LOT 142 THE WILLOWS MAP NO 5 RSM 25/37 38,01,94025,MENLO PARK,008,121 BLACKBURN AVE,1,3.49770297773e-4
061430310,X,El Camino Real/Downtown Specific Plan,ECRDSP,SP-ECR-D,6011.87,23-4889,PARCEL 2 0.138 AC MOL PARCEL MAP VOL 5/32,00,94025,MENLO PARK,008,558 OAK GROVE AVE,0,3.42849016124e-4
071103030,X,El Camino Real/Downtown Specific Plan,ECRDSP,SP-ECR-D,18244.75,23-8823,SWLY 176.66 FT OF SELY 103.43 FT OF LOT 4 BLK A        PARAISO PK RSM 10/50,17,94025,MENLO PARK,008,1295 EL CAMINO REAL,0,0.001040468555018
062332240,X,Residential Low Density,RL,R1U,9207.31,23-4357,LOT 314 THE WILLOWS MAP NO 7 RSM 29/9,01,94025,MENLO PARK,008,323 TRENTON WAY,1,5.24275528292e-4
062422080,X(S),Commercial Offices,CO,C1,137657.98,23-3816,3.17 AC MOL ON WLY COR OF MIDDLEFIELD RD & WILLOW RD   ACREAGE CITY OF MENLO PARK,17,94025,MENLO PARK,008,85 WILLOW RD,0,0.007851592837871
062301040,AE,Residential Low Density,RL,R1U,7895.82,23-4320,LOT 14 MIDDLEFIELD PARK,01,94025,MENLO PARK,008,109 CLOVER LN,1,4.50284862892e-4
062303070,AE,Residential Low Density,RL,R1U,5411.39,23-4295,LOT 28 MIDDLEFIELD PARK,01,94025,MENLO PARK,008,150 BAYWOOD AVE,1,3.08603383051e-4
062303120,AE,Residential Low Density,RL,R1U,7975.92,23-4284,LOT 138 THE WILLOWS MAP NO 5 RSM 25/37 38,01,94025,MENLO PARK,008,213 BLACKBURN AVE,1,4.54232044348e-4
062332370,X,Residential Low Density,RL,R1U,5767.52,23-4596,LOT 273 THE WILLOWS MAP NO 6 RSM 27/18,01,94025,MENLO PARK,008,655 WOODLAND AVE,1,3.28227150208e-4
062332300,X,Residential Low Density,RL,R1U,5187.27,23-4603,LOT 266 THE WILLOWS MAP NO 6 RSM 27/18,01,94025,MENLO PARK,008,215 CONCORD DR,1,2.95743605024e-4
062331130,X,Residential Low Density,RL,R1U,9073.17,23-1009,LOT 1 LINPARK RSM 54/15 CITY OF MENLO PARK,01,94025,MENLO PARK,008,858 WOODLAND CT,1,5.17419006309e-4
062301050,AE,Residential Low Density,RL,R1U,8370.36,23-4319,LOT 13 MIDDLEFIELD PARK,01,94025,MENLO PARK,008,107 CLOVER LN,1,4.77346221158e-4
062334160,X,Residential Low Density,RL,R1U,6048.74,23-4587,LOT 238 & SLY 5 FT OF LOT 239 THE WILLOWS MAP NO 6 RSM 27/18,01,94025,MENLO PARK,008,212 CONCORD DR,1,3.44442778684e-4
061412150,X,Residential Medium Density,RM,R3,14632.5,23-4953,LOT 1 MENLO SQUARE RSM 26/34 CITY OF MENLO PARK,05,94025,MENLO PARK,008,462 RAVENSWOOD AVE,2,8.3239103463e-4
061441030,X,El Camino Real/Downtown Specific Plan,ECRDSP,SP-ECR-D,6166.31,23-5017,6452 SQ FT MOL PTN OF LOT 189 MENLO PARK VILLA ASOC    RSM 2/40,19,94025,MENLO PARK,008,1125 MERRILL ST,0,3.43664439445e-4
062303130,AE,Residential Low Density,RL,R1U,9376.72,23-4283,LOT 137 THE WILLOWS MAP NO 5 RSM 25/37 38,01,94025,MENLO PARK,008,217 BLACKBURN AVE,1,5.33807434744e-4
062301070,AE,Residential Low Density,RL,R1U,5499.94,23-4317,LOT 11 MIDDLEFIELD PARK,01,94025,MENLO PARK,008,103 CLOVER LN,1,3.13651235919e-4
062411220,X,Residential Medium Density,RM,R3A,8248.82,23-3786,74.20 FT X 69.30 FT F&R MEAS PTN OF LOTS 229 230 231   LINFIELD OAKS RESUB OF PTN OF LOT 1 RSM 34/20 CITY OF  MENLO PARK,04,94025,MENLO PARK,008,40 KENT PL 1,2,4.70425783325e-4
062332310,X,Residential Low Density,RL,R1U,5190.63,23-4602,LOT 267 THE WILLOWS MAP NO 6 RSM 27/18,01,94025,MENLO PARK,008,211 CONCORD DR,1,2.96012952977e-4
061441160,X,El Camino Real/Downtown Specific Plan,ECRDSP,SP-ECR-D,13272.96,23-5008,0.30 AC MOL PTN OF LOT 188 MENLO PARK VILLA ASOC       RSM 2/40,11,94025,MENLO PARK,008,1192 EL CAMINO REAL,0,7.56930652405e-4
062332350,X,Residential Low Density,RL,R1U,9428.81,23-4598,LOT 271 THE WILLOWS MAP NO 6 RSM 27/18,01,94025,MENLO PARK,008,675 WOODLAND AVE,1,5.37674517577e-4
071101060,X,Residential Medium Density,RM,R3,7011.99,23-8890,50 FT X 140.25 FT ON HOOVER AVE BEG 160.46 FT FROM     VALPARAISO PTN OF LOT 4 BLOCK B PARAISO PARK,02,94025,MENLO PARK,008,1343 HOOVER ST,2,3.99876181361e-4
062331140,X(U),Residential Low Density,RL,R1U,12801.1,23-1008,LOT 2 LINPARK RSM 54/15 CITY OF MENLO PARK,01,94025,MENLO PARK,008,854 WOODLAND CT,1,7.30003190302e-4
071101340,X,Residential Medium Density,RM,R3(X),2884.46,23-8869,LOT 7 COUNTRY MANOR RSM 98/46-47,01,94025,MENLO PARK,008,11 CHATEAU DR,2,1.6449042241e-4
061412160,X,El Camino Real/Downtown Specific Plan,ECRDSP,SP-ECR-D,18339.78,23-4952,LOTS 25 & 26 MENLO SQUARE MAP NO 2 RSM 28/47 CITY OF   MENLO PARK,14,94025,MENLO PARK,008,1004 ALMA ST,0,0.001045877076049
071101370,X,Residential Medium Density,RM,R3(X),2867.27,23-8866,LOT 10 COUNTRY MANOR RSM 98/46-47,01,94025,MENLO PARK,008,5 CHATEAU DR,2,1.6351013832e-4
062530310,X,Residential Medium Density,RM,R3(X),3569.26,23-608,LOT 31 CLASSICS OF MENLO PARK RSM 128/50-52,01,94025,MENLO PARK,008,530 BARRON ST,2,2.03543762897e-4
062453020,X,Residential Medium Density,RM,R3,12695.86,23-3918,PARCEL A ASSESSORS MAP OF RECORD OF SURVEY VOLUME 3    PAGE 65,05,94025,MENLO PARK,008,298 WAVERLEY ST 01,2,7.24007015665e-4
061442330,X,El Camino Real/Downtown Specific Plan,ECRDSP,SP-ECR-D,5640.26,23-5007,PARCEL 1 .129 AC MOL PARCEL MAP VOL 61/13-15,21,94025,MENLO PARK,008,555 SANTA CRUZ AVE,0,3.21644093132e-4
062411120,X,Residential Medium Density,RM,R3A,8358.42,23-3796,LOT 239 LESS SELY 2.50 FT LINFIELD OAKS RESUB OF PTN   OF LOT 1 RSM 34/20 CITY OF MENLO PARK,03,94025,MENLO PARK,008,16 WAVERLEY CT 1,2,4.74504411189e-4
071102390,X,El Camino Real/Downtown Specific Plan,ECRDSP,SP-ECR-D,5756.23,23-8827,42.09 FT X 142.82 FT MOL ON EL CAMINO REAL COM 119.60  FT SELY FM OAK GROVE AVE BEING PTN OF LOT 151 TOWN OF  MENLO PARK RSM 1/92,22,94025,MENLO PARK,008,1163 EL CAMINO REAL,0,3.28217205949e-4
062530230,X,Residential Medium Density,RM,R3(X),3809.87,23-599,LOT 23 CLASSICS OF MENLO PARK RSM 128/50-52,01,94025,MENLO PARK,008,565 BARRON ST,2,2.17428934235e-4
062411110,X,Residential Medium Density,RM,R3A,8064.09,23-3797,0.195 AC MOL LYING ADJ TO LOT 239 OF RESUB OF LOT 1    LINFIELDOAKS ACREAGE CITY OF MENLO PARK,04,94025,MENLO PARK,008,20 WAVERLEY CT 1,2,4.60523330724e-4
062530150,X,Residential Medium Density,RM,R3(X),4574.78,23-595,LOT 15 CLASSICS OF MENLO PARK RSM 128/50-52,01,94025,MENLO PARK,008,586 HOPKINS ST,2,2.61486450792e-4
071491030,X,Residential Medium Density,RM,R3,3417.62,23-752C,LOT 3 DELLA MORTE SUB RSM 116/14,01,94025,MENLO PARK,008,1324 CRANE ST,2,1.94893118491e-4
062530190,X,Residential Medium Density,RM,R3(X),3595.71,23-603,LOT 19 CLASSICS OF MENLO PARK RSM 128/50-52,01,94025,MENLO PARK,008,525 BARRON ST,2,2.05050330132e-4
062412120,X,Residential Medium Density,RM,R3A,7722.73,23-3767,66.62 FT X 60 FT F&R MEAS ON SLY LINE OF WAVERLEY ST   LYING NLY OF LOTS 6 & 7 PTN OF LOT 2 LINFIELD OAKS RSM 31/25 26 CITY OF MENLO PARK,02,94025,MENLO PARK,008,323 WAVERLEY ST,2,4.40434298388e-4
062453050,X,Residential Medium Density,RM,R3,9013.95,23-3915,PARCEL D ASSESSORS MAP OF RECORD OF SURVEY VOLUME 3    PAGE 65,05,94025,MENLO PARK,008,280 WAVERLEY ST 1,2,5.14032698412e-4
062550999,X,Residential High Density,RH,R4(X),349.49,23-9673,NA,NA,NA,NA,NA,NA,2,5.67945251901e-4
117050999,X,Residential Medium Density,RM,R3,6200.38,23-10227,COMMON AREA,NA,NA,NA,008,NA,2,3.53621174904e-4
111130999,X,Residential Medium Density,RM,R3,6484.09,23-1336,NA,NA,NA,NA,NA,NA,2,3.69800907296e-4
113140999,X,Residential Medium Density,RM,R3,5159.94,23-10268,NA,NA,NA,NA,NA,NA,2,2.94284711302e-4
114860999,X,Residential Medium Density,RM,R3,5730.51,23-10304,NA,NA,NA,NA,NA,NA,2,3.26829667187e-4
061383998,X,Residential Medium Density,RM,R3,5029.76,23-802,NA,NA,NA,NA,NA,NA,2,2.8685727492e-4
114380999,X,El Camino Real/Downtown Specific Plan,ECRDSP,SP-ECR-D,4809.97,23-9854,NA,NA,NA,NA,NA,NA,0,2.74270847189e-4
071451999,X,El Camino Real/Downtown Specific Plan,ECRDSP,SP-ECR-D,14006.26,23-906,NA,NA,NA,NA,NA,NA,0,7.98641027396e-4
114420999,X,Residential Medium Density,RM,R2,7296.19,23-9896,NA,NA,94025,MENLO PARK,NA,NA,2,4.16001455941e-4
071272999,X,Residential Medium Density,RM,R3,4597.26,23-1022,NA,NA,NA,NA,NA,NA,2,2.62128733911e-4
114080999,X,Residential Medium Density,RM,R3,5345.09,23-10267,NA,NA,NA,NA,NA,NA,2,1.67857078046e-4
071291998,X,Residential Medium Density,RM,R3,1808.3,23-829,NA,NA,NA,NA,NA,NA,2,1.03099722162e-4
114110999,X,Residential Medium Density,RM,R2,5853.69,23-10242,NA,NA,NA,NA,NA,NA,2,3.33745996541e-4
062284999,X,Residential Medium Density,RM,R3,5888.54,23-783,NA,NA,NA,NA,NA,NA,2,3.38131135536e-4
074220340,NA,Parks & Recreation,PR,OSC,0,23-7103,0.02 AC MOL ADJ TO SLY BNDRY OF ATHERTON WEST RSM      55/36 - ACREAGE TOWN OF ATHERTON,00,94025,NA,008,NA,0,6.34811781009e-4
073261100,NA,NA,NA,NA,0,11-5234,6 INCH STRIP BEING PTN OF LOT 29 & PTN OF WALSH RD     ABAND MEZES RANCH NEAR MENLO PARK RSM 2/5,88,94027,NA,001,NA,0,1.5086219394e-5
071093020,X,Residential Medium Density,RM,R3,5072.13,23-8456,63 FT X 80.5 FT ON CRANE AVE COM 97.46 FT FROM         VALPARAISO AVE PTN OF LOT 1 BLOCK B PARAISO PARK,01,94025,MENLO PARK,008,1354 CRANE ST,2,2.89243139947e-4
071101210,X,Residential Medium Density,RM,R3,6999.63,23-8882,50 FT X 140 FT ON HOOVER SO COM 190.93 FT FR OAK GROVE AVE PTN LOT 12 BLOCK B PARAISO PARK,01,94025,MENLO PARK,008,1241 HOOVER ST,2,3.99160723825e-4
062412110,X,Residential Medium Density,RM,R3A,7612.85,23-3768,72.90 FT X 54.46 FT F&R MEAS ON SLY LINE OF WAVERLEY   ST LYING NLY OF LOT 7 PTN OF LOT 2 LINFIELD OAKS RSM   31/25 26 CITY OF MENLO PARK,03,94025,MENLO PARK,008,327 WAVERLEY ST A,2,4.3603978377e-4
071102140,X,El Camino Real/Downtown Specific Plan,ECRDSP,SP-ECR-D,14117.27,23-8843,54.50 FT X 147.82 FT MOL ON EL CAMINO REAL PTN OF LOT  155 & 40.49 FT X 150.99 FT MOL ON COR OF EL CAMINO RL  & SANTA CRUZAVE PTN OF LOT 156 TOWN OF MENLO PARK,12,94025,MENLO PARK,008,1105 EL CAMINO REAL,0,0.00080509631405200005
062530120,X,Residential Medium Density,RM,R3(X),4018.93,23-588,LOT 12 CLASSICS OF MENLO PARK RSM 128/50-52,01,94025,MENLO PARK,008,556 HOPKINS ST,2,2.29208024659e-4
062412100,X,Residential Medium Density,RM,R3A,7509.96,23-3769,65 FT X 46.32 FT F&R MEAS ON SLY LINE OF WAVERLEY      LYING NLY OF LOTS 7 & 8 PTN OF LOT 2 LINFIELD OAKS RSM 31/25 26 CITY OF MENLO PARK,03,94025,MENLO PARK,008,331 WAVERLEY ST 1,2,4.30309040995e-4
062411060,X,Residential Medium Density,RM,R3A,10862.94,23-3802,33.92 FT ON NLY LINE OF WAVERLY ST BEING PTN OF LOTS   243 244 245 LINFIELD OAKS RESUB OF PTN OF LOT 1 RSM    34/20 CITY OF MENLO PARK,04,94025,MENLO PARK,008,356 WAVERLEY ST 1,2,6.19430141041e-4
062530180,X,Residential Medium Density,RM,R3(X),2849.85,23-604,LOT 18 CLASSICS OF MENLO PARK RSM 128/50-52,01,94025,MENLO PARK,008,515 BARRON ST,2,1.6242107065e-4
071101220,X,Public Facilities,PF,PF,7056.43,23-8881,50 FT X 140 FT ON HOOVER ST COM 140.93 FT FR OAK GROVE AVE PTN OF LOT 12 BLOCK B PARAISO PARK,01,94025,MENLO PARK,008,1231 HOOVER ST,0,4.02398846801e-4
062530060,X,Residential Medium Density,RM,R3(X),5344.36,23-591,LOT 6 CLASSICS OF MENLO PARK RSM 128/50-52,01,94025,MENLO PARK,008,570 LAUREL ST,2,3.0410731563e-4
062453060,X,Residential Medium Density,RM,R3,9014.43,23-3914,PARCEL E ASSESSORS MAP OF RECORD OF SURVEY VOLUME 3    PAGE 65,05,94025,MENLO PARK,008,270 WAVERLEY ST 1,2,5.14058790297e-4
062451050,X,Residential Low Density,RL,R1U,9385.26,23-3958,LOT 40 LINFIELD OAKS RSM 31/25 26 CITY OF MENLO PARK,01,94025,MENLO PARK,008,341 LINFIELD DR,1,5.36534764056e-4
112510060,X,El Camino Real/Downtown Specific Plan,ECRDSP,SP-ECR-D,1081.58,23-840F,UNIT 6 THE HERITAGE AT MENLO 88012971 & 88014155,97,94025,MENLO PARK,008,1304 UNIVERSITY DR 6,0,6.1675343649e-5
062451070,X,Residential Low Density,RL,R1U,7746.72,23-3956,LOT 42 LINFIELD OAKS RSM 31/25 26 CITY OF MENLO PARK,01,94025,MENLO PARK,008,333 LINFIELD PL,1,4.41731652286e-4
071285120,X,El Camino Real/Downtown Specific Plan,ECRDSP,SP-ECR-D,3127.26,23-8390,SELY APPROX 62.55 FT OF LOT 11 BLK E HOAG & LANSDALE   SUB RSM 5/16,18,94025,MENLO PARK,008,648 MENLO AVE,0,1.78328319432e-4
071082180,X,Residential Low Density,RL,R1U,5744.03,23-8955,50 FT X 115 FT ON UNIVERSITY DR COM 153.71 FT SLY FRM  VALPARAISO AVE PTN OF LOT 4 BLOCK D PARAISO PARK,01,94025,MENLO PARK,008,1351 UNIVERSITY DR,1,3.27544469897e-4
062451190,X,Residential Low Density,RL,R1U,8684.37,23-3945,LOT 215 LINFIELD OAKS UNIT NO 2 RSM 32/40 41 CITY OF   MENLO PARK,01,94025,MENLO PARK,008,57 WILLOW RD,1,4.95216321267e-4
071284040,X,El Camino Real/Downtown Specific Plan,ECRDSP,SP-ECR-D,5000.1,23-8399,LOT 4 BLOCK D LESS SELY 20 FT HOAG & LANSDALE SUB,11,94025,MENLO PARK,008,707 SANTA CRUZ AVE,0,2.85123649406e-4
062413150,X,Residential Low Density,RL,R1U,8042.63,23-3733,LOT 22 LINFIELD OAKS RSM 31/25 26 CITY OF MENLO PARK,01,94025,MENLO PARK,008,340 LAUREL ST,1,4.56985522811e-4
071288600,X,El Camino Real/Downtown Specific Plan,ECRDSP,SP-ECR-D,20934.54,23-8342,PARCEL A .48 AC MOL PARCEL MAP VOL 49/34,18,94025,MENLO PARK,008,633 MENLO AVE A,0,0.001193759109126
071082150,X,Residential Low Density,RL,R1U,8454.72,23-8958,55 FT X 153.71 FT ON VALPARAISO AVE COM 115 FT WLY FR  UNIVERSITY DR PTNS OF LOTS 3 & 4 BLOCK D PARAISO PARK,01,94025,MENLO PARK,008,929 VALPARAISO AVE,1,4.821168526e-4
062405040,X,Residential Medium Density,RM,R3,6600.28,23-5099,LOT 199 LINFIELD OAKS UNIT NO 2 RSM 32/40 41 CITY OF   MENLO PARK,04,94025,MENLO PARK,008,424 WAVERLEY ST 1,2,3.76372992785e-4
071091310,X,El Camino Real/Downtown Specific Plan,ECRDSP,SP-ECR-D,21790.7,23-8487,SELY 90.15 FT OF LOT 7 BLOCK C PARAISO PARK,19,94025,MENLO PARK,008,1300 UNIVERSITY DR,0,0.001242574599142
062451200,X,Residential Low Density,RL,R1U,8708.54,23-3944,LOT 214 LINFIELD OAKS UNIT NO 2 RSM 32/40 41 CITY OF   MENLO PARK,01,94025,MENLO PARK,008,55 WILLOW RD,1,4.9659393205e-4
071288290,X,Residential Medium Density,RM,R3,7784.1,23-8363,46 FT ON LIVE OAK AVE COM 305.99 FT FROM CO RD PORT OF LOT 12 PARTITION MAP OF KATE JOHNSON RANCHO,91,94025,MENLO PARK,008,660 LIVE OAK AVE,2,4.43876927727e-4
062423080,A,Commercial Offices,CO,C1,115664.69,23-3809,2.616 AC MOL ON SELY LINE OF WILLOW PLACE ACREAGE CITY OF MENLO PARK,17,94025,MENLO PARK,008,66 WILLOW PL,0,0.006595485349026
062451010,X,Residential Low Density,RL,R1U,9401.69,23-3962,LOT 36 LINFIELD OAKS RSM 31/25 26 CITY OF MENLO PARK,01,94025,MENLO PARK,008,220 LAUREL ST,1,5.36003098416e-4
071082440,X,Residential Low Density,RL,R1U(X),2020.59,23-1021C,LOT 3 & 1/6 INT IN LOT 7 RESUB OF LOT 5 BLK D PARAISO  PARK RSM 68/19,01,94025,MENLO PARK,008,1334 JOHNSON ST,1,1.15217378581e-4
071332130,X,El Camino Real/Downtown Specific Plan,ECRDSP,SP-ECR-D,83441.36,23-8059,1.919 AC MOL ON COR OF MIDDLE AVE & EL CAMINO REAL     ACREAGE CITY OF MENLO PARK,27,94025,MENLO PARK,008,525 EL CAMINO REAL,0,0.004766049921482
071092200,X,El Camino Real/Downtown Specific Plan,ECRDSP,SP-ECR-D,6499.93,23-8466,50 FT X 130 FT ON SANTA CRUZ AVE COM 198 FT SWLY FR    CRANE ST PTN LOTS 177 178 TOWN OF MENLO PARK,11,94025,MENLO PARK,008,850 SANTA CRUZ AVE,0,3.70637577738e-4
062401470,X,Residential Low Density,RL,R1U,7668.41,23-3703,LOT 150 LINFIELD OAKS UNIT NO 2 RSM 32/40 41 CITY OF   MENLO PARK,01,94025,MENLO PARK,008,421 LINFIELD DR,1,4.37268083569e-4
071083050,X,Residential Low Density,RL,R1U,6074.82,23-8923,LOT 13 PARAISO PARK BLK D SUB OF LOTS 7 TO 12,01,94025,MENLO PARK,008,933 ROSE AVE,1,3.46396381563e-4
071082300,X,Residential Low Density,RL,R1U,9876.09,23-8944,LOT 4 & NELY 34 FT OF LOT 3 PARAISO PARK BLK D SUB OF  LOTS 7TO 12,01,94025,MENLO PARK,008,960 ROSE AVE,1,5.63150741571e-4
062401530,X,Residential Low Density,RL,R1U,7848.72,23-3697,LOT 145 LINFIELD OAKS UNIT NO 2 RSM 32/40 41 CITY OF   MENLO PARK,01,94025,MENLO PARK,008,35 WILLOW RD,1,4.47852293543e-4
071281050,X,El Camino Real/Downtown Specific Plan,ECRDSP,SP-ECR-D,5000.23,23-8424,LOT 5 BLOCK B LESS SELY 20 FT HOAG & LANSDALE SUB,12,94025,MENLO PARK,008,807 SANTA CRUZ AVE,0,2.85121838057e-4
071083110,X,Residential Low Density,RL,R1U,6075.36,23-8917,LOT 25 & SWLY 1.68 FT OF LOTS 26 & 27 PARAISO PARK BLK D SUBOF LOTS 7 TO 12,01,94025,MENLO PARK,008,922 MILLIE AVE,1,3.46426745498e-4
071083030,X,Residential Low Density,RL,R1U,6074.82,23-8925,LOT 15 PARAISO PARK BLK D SUB OF LOTS 7 TO 12,01,94025,MENLO PARK,008,957 ROSE AVE,1,3.46394099722e-4
071322160,X,Residential Medium Density,RM,R3,6282.51,23-8132,SLY 45 FT F&R MEAS OF LOT 4 BEST TRACT RSM 29/41 CITY  OF MENLO PARK,04,94025,MENLO PARK,008,715 ROBLE AVE 1,2,3.58234916536e-4
071322340,X,Residential Low Density,RL,R1U,5626.01,23-8104,LOT 34 MOREY TRACT,01,94025,MENLO PARK,008,590 KENWOOD DR,1,3.20854465591e-4
071322150,X,Residential Medium Density,RM,R3,20698.93,23-8133,"0.475 AC MOL ON SELY LN OF NOBLE AVE, ACREAGE IN CITY  OF MENLO PARK",05,94025,MENLO PARK,008,725 ROBLE AVE 01,2,0.001180266024236
071083170,X,Residential Low Density,RL,R1U,5593.61,23-8911,LOT 19 PARAISO PARK BLK D SUB OF LOTS 7 TO 12,01,94025,MENLO PARK,008,1210 JOHNSON ST,1,3.18951305116e-4
071282040,X,El Camino Real/Downtown Specific Plan,ECRDSP,SP-ECR-D,5460.17,23-8420,NELY 5 FT OF LOT 14 BLOCK 2 & LOT 15 BLOCK 2 FENTON    SUB OF LOT 16 JOHNSON RO,02,94025,MENLO PARK,008,999 CRANE ST,0,3.11343349971e-4
071322240,X,Residential Medium Density,RM,R3,6960.98,23-8124,WLY 38.13 FT X 100 FT F&R MEAS OF LOT 3 BEST TRACT RSM 29/41CITY OF MENLO PARK,05,94025,MENLO PARK,008,707 CURTIS WAY 1,2,3.96917217859e-4
071411170,X,El Camino Real/Downtown Specific Plan,ECRDSP,SP-ECR-D,3125.83,23-7764,LOT 5 BLOCK 1 LESS PTN TO STATE STANFORD PARK 2,25,94025,MENLO PARK,008,495 EL CAMINO REAL,0,1.78237361567e-4
071103080,X,El Camino Real/Downtown Specific Plan,ECRDSP,SP-ECR-D,8827.91,23-8818,SWLY 176.66 FT OF SELY 50 FT OF NWLY 100 FT OF LOT 8   BLK A PARAISO PK RSM 10/50,13,94025,MENLO PARK,008,1267 EL CAMINO REAL,0,5.03434827804e-4
071103260,X,Residential Medium Density,RM,R3,9603.25,23-8807,50 FT X 192 FT MOL ON HOOVER ST COM SLY 500.55 FT FRM  VALPARAISO AVE PTN OF LOT 5 BLOCK A PARAISO PARK,93,94025,MENLO PARK,008,1294 HOOVER ST 1,2,5.47648431801e-4
071103100,X,El Camino Real/Downtown Specific Plan,ECRDSP,SP-ECR-D,11464.16,23-8816,65.03 FT X 176.66 FT ON EL CAMINO REAL BEING PTN OF    LOTS 8 & 10 BLK A PARAISO PK RSM 10/50,13,94025,MENLO PARK,008,1253 EL CAMINO REAL,0,6.53771276572e-4
071103240,X,Residential Medium Density,RM,R3,9805.39,23-8809,50 FT X 196.03 FT ON HOOVER ST COM 600.55 FT SLY FR    VALPARAISO AVE PTN OF LOT 5 BLOCK A PARAISO PARK,02,94025,MENLO PARK,008,1280 HOOVER ST,2,5.59173745408e-4
062211100,X,Residential Low Density,RL,R1U,6451.5,23-2850,ELY 130 FT OF LOT 16 BLOCK 13 MENALTO PARK 2,01,94025,MENLO PARK,008,915 ARNOLD WAY,1,3.68030788561e-4
061310160,X,Residential Low Density,RL,R1S(FG),10403.92,23-1300,NELY 20 FT OF LOT 7 BLOCK 6 LOT 8 BLOCK 6 FELTON,01,94025,MENLO PARK,008,212 FELTON DR,1,5.92170515468e-4
062233140,AE,Residential Low Density,RL,R1U,7000.14,23-2770,LOT 14 BLOCK 5 MENALTO PARK,01,94025,MENLO PARK,008,733 CENTRAL AVE,1,3.99304727946e-4
062202130,X,Residential Low Density,RL,R1U,7500.54,23-2929,LOT 14 BLOCK 8 & NLY 10 FT OF LOT 15 BLOCK 8 MENALTO   PARK,01,94025,MENLO PARK,008,755 ARNOLD WAY,1,4.27848519676e-4
062204040,AE,Residential Low Density,RL,R1U,7000.24,23-2902,LOT 17 BLOCK 6 MENALTO PARK,01,94025,MENLO PARK,008,720 REGAL CT,1,3.99311385467e-4
061322130,X,Residential Low Density,RL,R1S(FG),12618.19,23-1269,NELY 6.20 FT MOL OF LOT 18 BLOCK 5 LOT 19 BLOCK 5 LESS SM PTNS LOT 20 BLOCK 5 LESS SM PTNS FELTON GABLES,01,94025,MENLO PARK,008,203 FELTON DR,1,7.20753713422e-4
062285320,X,Residential Medium Density,RM,R3,44664.97,23-4076,1.008 AC MOL ON WLY LN OF WILLOW RD ADJ ELY TO LOTS 14 & 15 MENLO MANOR RSM 39/48 ACREAGE CITY OF MENLO PARK,05,94025,MENLO PARK,008,565 WILLOW RD 01,2,0.002551794728102
061322060,X,Residential Low Density,RL,R1S(FG),9785.43,23-1275,LOT 8 BLOCK 5 LESS REAR PTN LESS SLY 5 FT X 109 FT SLY 30.36FT OF LOT 9 BLOCK 5 FELTON GABLES,01,94025,MENLO PARK,008,311 FELTON DR,1,5.57795665841e-4
062232040,AE,Residential Low Density,RL,R1U,6875.5,23-2786,LOT 4 BLOCK 11 MENALTO PARK,01,94025,MENLO PARK,008,101 O'KEEFE ST,1,3.92180685944e-4
060343520,X,Residential Medium Density,RM,R3,1929.48,23-9529,LOT 59 & 1/31 INT IN LOT 58 PARK FOREST UNIT NO 2 RSM  60/21 22,01,94025,MENLO PARK,008,1781 STONE PINE LN,2,1.10055205694e-4
062284170,X(S),Residential Medium Density,RM,R3,7356.12,23-1346,0.17 AC MOL SELY PTN OF BLK 1 NASH TRACT RSM 4/54,95,94025,MENLO PARK,008,481 WILLOW RD,2,4.19930375627e-4
062382050,AE,Residential Low Density,RL,R1U,7000.19,23-4673,LOT 14 BLOCK 11 NORTH PALO ALTO,01,94025,MENLO PARK,008,518 LAUREL AVE,1,3.99274989271e-4
063430680,AE,Residential Low Density,RL,R1U,7005.72,23-3519,0.16 AC MOL PAR 1 PARCEL MAP VOL 33/25-26,91,94025,MENLO PARK,008,116 O'CONNOR ST,1,3.99590294973e-4
062320320,X(S),Parks & Recreation,PR,OSC,113922.08,23-4701,2.63 ACS MOL PTN OF ARB LOTS 3 4 5 & 6 HANSCOM TRACT   UNREC CITY OF MENLO PARK,69,94025,NA,008,490 WILLOW RD,0,0.006497771620801
