apn,fld_firm_z,gp_values1,gpz_gen_pl,gpz_z_labe,lot_tot_po,parcelid,prc_legal_,prc_puc_co,prc_situs1,prc_situs_,prc_tax_co,site_addre,Zoning,Area_sqmi
074395020,X,Residential Low Density,RL,R1S,14198.55,23-6725,LOT 164 SHARON HEIGHTS UNIT NO 11 RSM 60/25 26,01,94025,MENLO PARK,008,1020 CONTINENTAL DR,1,8.0864687482e-4
074351410,X,Residential Low Density,RL,R1S,10172.68,23-6782,LOT 31 SHARON WOODS RSM 73/20,01,94025,MENLO PARK,008,1005 DEANNA DR,1,5.83786502745e-4
074161270,X,Residential Very Low Density,RVL,RES,17323.76,23-7229,LOT 38 0.39 AC MOL PARCEL MAP VOL 2/32,01,94025,MENLO PARK,008,1170 TRINITY DR,1,9.82190418763e-4
074111210,X,Residential Low Density,RL,R1S,9922.9,23-7440,LOT 2 SHARON COURT RSM 39/5,01,94025,MENLO PARK,008,35 SHARON CT,1,5.65492622208e-4
074351330,X,Residential Low Density,RL,R1S,10049.02,23-6790,LOT 23 SHARON WOODS RSM 73/20,01,94025,MENLO PARK,008,1085 DEANNA DR,1,5.75818295144e-4
074230660,X,Residential Very Low Density,RVL,RES,15284.91,23-7078,LOT 2 1000 SHARON PARK RSM 81/45-50,01,94025,MENLO PARK,008,1040 LASSEN DR,1,8.68987085555e-4
071153100,X,Residential Low Density,RL,R1S,16407.17,23-5762,0.36 AC MOL BEING LOT 38 STANFORD CREEK MAP NO 4 RSM   36/20 AND ADJ ACREAGE ACREAGE CITY OF MENLO PARK,01,94025,MENLO PARK,008,1985 OAK AVE,1,9.35062253525e-4
074342030,X,Residential Low Density,RL,R1S,14808.19,23-6830,LOT 147 SHARON HEIGHTS UNIT NO 4 RSM 54/42 43,01,94025,MENLO PARK,008,1045 CASCADE DR,1,8.51461739787e-4
074161060,X,Residential Very Low Density,RVL,RES,15281.49,23-7242,LOT 23 SHARON HEIGHTS UNIT NO 13 RSM 63/16 18,01,94025,MENLO PARK,008,5 LASSEN CT,1,8.70269772299e-4
074341080,X,Residential Low Density,RL,R1S,14752.21,23-6840,LOT 137 SHARON HEIGHTS UNIT NO 4 RSM 54/42 43,01,94025,MENLO PARK,008,1036 CASCADE DR,1,8.42902723902e-4
074351100,X,Residential Low Density,RL,R1S,171915.07,23-6812,PARCEL B 3.959 AC MOL PARCEL MAP VOL 14/17,71,94025,MENLO PARK,008,900 MONTE ROSA DR,1,0.00979108971411
074111200,X,Residential Low Density,RL,R1S,10196.14,23-7441,LOT 3 SHARON COURT RSM 39/5,01,94025,MENLO PARK,008,30 SHARON CT,1,5.81065113916e-4
074111190,X,Residential Low Density,RL,R1S,10212.86,23-7442,LOT 4 SHARON COURT RSM 39/5,01,94025,MENLO PARK,008,20 SHARON CT,1,5.79761359667e-4
074112220,X,Residential Low Density,RL,R1S,10958.35,23-7418,PARCEL B PER L L S VOL 5 PAGE 82,01,94025,MENLO PARK,008,30 CAMPO BELLO CT,1,6.2452030645e-4
074111300,X,Residential Low Density,RL,R1S,11615.25,23-7433,0.25 ACS MOL ON SLY LN OF SHARON RD COM 658.30 FT SWLY FR ALAMEDA PULGAS PTN OF LOT 24 TOBIN 440 AC TRACT RSM 1/99,01,94025,MENLO PARK,008,2189 SHARON RD,1,6.61930087304e-4
074343130,X,Residential Low Density,RL,R1S,13239.96,23-6815,LOT 162 SHARON HEIGHTS UNIT NO 4 RSM 54/42 43,01,94025,MENLO PARK,008,1000 CONTINENTAL DR,1,7.6112101614e-4
074230670,X,Residential Very Low Density,RVL,RES,15323.17,23-7077,LOT 3 1000 SHARON PARK RSM 81/45-50,01,94025,MENLO PARK,008,1030 LASSEN DR,1,8.73237701784e-4
074230680,X,Residential Low Density,RL,R1S(X),6016.68,23-23483,LOT 35 1000 SHARON PARK RSM 81/45-50,01,94025,MENLO PARK,008,1020 LASSEN DR,1,3.4287625212e-4
