OBJECTID,FACILITYID,ZONINGABBR,REZONINGFI,PDUSE,PDDENSITY,DEVELOPEDA,APPROVALDA,COLORCODE,LASTUPDATE,ENTERPRISE,Zone_descr,Zoning,PDDENS_NUM
1646,1646,A(PD),91065,Res,1,Yes,NA,1,2007-08-29T13:50:12.000Z,PLN-ZONI-0000001646,Planned Development,1,1
1647,1647,A(PD),91065,Res,1,Yes,NA,1,2007-08-29T07:34:34.000Z,PLN-ZONI-0000001647,Planned Development,1,1
1648,1648,A(PD),91065,Res,1,Yes,NA,1,2013-03-15T10:34:22.000Z,PLN-ZONI-0000001648,Planned Development,1,1
1649,1649,A(PD),91065,Res,1,Yes,NA,1,2013-03-15T10:34:22.000Z,PLN-ZONI-0000001649,Planned Development,1,1
1650,1650,A(PD),91065,Res,1,Yes,NA,1,2013-03-15T10:34:22.000Z,PLN-ZONI-0000001650,Planned Development,1,1
1651,1651,A(PD),91065,Res,1,Yes,NA,1,2007-08-29T07:34:34.000Z,PLN-ZONI-0000001651,Planned Development,1,1
1652,1652,A(PD),91065,Res,1,Yes,NA,1,2013-03-15T10:34:22.000Z,PLN-ZONI-0000001652,Planned Development,2,1
1653,1653,A(PD),91065,Res,1,Yes,NA,1,2008-04-14T08:34:08.000Z,PLN-ZONI-0000001653,Planned Development,1,1
1654,1654,A(PD),91065,Res,1,Yes,NA,1,2013-03-15T10:34:22.000Z,PLN-ZONI-0000001654,Planned Development,1,1
1655,1655,A(PD),91065,Res,1,Yes,NA,1,2013-03-15T10:34:22.000Z,PLN-ZONI-0000001655,Planned Development,1,1
1656,1656,A(PD),91065,Res,1,Yes,NA,1,2007-08-29T13:48:52.000Z,PLN-ZONI-0000001656,Planned Development,1,1
1657,1657,A(PD),91065,Res,1,Yes,NA,1,2007-08-29T07:34:34.000Z,PLN-ZONI-0000001657,Planned Development,1,1
1658,1658,A(PD),91065,Res,1,Yes,NA,1,2008-04-14T08:34:08.000Z,PLN-ZONI-0000001658,Planned Development,1,1
1659,1659,A(PD),91065,Res,1,Yes,NA,1,2007-08-29T07:34:34.000Z,PLN-ZONI-0000001659,Planned Development,1,1
1660,1660,A(PD),91065,Res,1,Yes,NA,1,2007-08-29T08:07:44.000Z,PLN-ZONI-0000001660,Planned Development,2,1
1661,1661,A(PD),91065,Res,1,Yes,NA,1,2007-08-29T08:07:44.000Z,PLN-ZONI-0000001661,Planned Development,2,1
1662,1662,A(PD),91065,Res,1,Yes,NA,1,2013-03-15T10:34:22.000Z,PLN-ZONI-0000001662,Planned Development,1,1
1663,1663,A(PD),91065,Res,1,Yes,NA,1,2013-03-15T10:34:22.000Z,PLN-ZONI-0000001663,Planned Development,2,1
1664,1664,A(PD),91065,Res,1,Yes,NA,1,2007-08-29T08:15:05.000Z,PLN-ZONI-0000001664,Planned Development,1,1
1665,1665,A(PD),91065,Res,1,Yes,NA,1,2007-08-31T10:40:14.000Z,PLN-ZONI-0000001665,Planned Development,1,1
1666,1666,A(PD),91065,Res,1,Yes,NA,1,2007-08-29T09:45:11.000Z,PLN-ZONI-0000001666,Planned Development,2,1
1667,1667,A(PD),91065,Res,1,Yes,NA,1,2007-08-31T10:40:14.000Z,PLN-ZONI-0000001667,Planned Development,1,1
1668,1668,A(PD),91065,Res,1,Yes,NA,1,2007-08-29T08:41:21.000Z,PLN-ZONI-0000001668,Planned Development,1,1
1669,1669,A(PD),91065,Res,1,Yes,NA,1,2007-08-29T09:52:32.000Z,PLN-ZONI-0000001669,Planned Development,2,1
1670,1670,A(PD),91065,Res,1,Yes,NA,1,2007-08-29T08:41:21.000Z,PLN-ZONI-0000001670,Planned Development,1,1
1671,1671,A(PD),91065,Res,1,Yes,NA,1,2007-08-29T08:10:47.000Z,PLN-ZONI-0000001671,Planned Development,1,1
1672,1672,A(PD),91065,Res,1,Yes,NA,1,2007-08-29T08:56:34.000Z,PLN-ZONI-0000001672,Planned Development,1,1
1673,1673,A(PD),91065,Res,1,Yes,NA,1,2007-08-29T08:56:34.000Z,PLN-ZONI-0000001673,Planned Development,1,1
1674,1674,A(PD),91065,Res,1,Yes,NA,1,2007-08-29T09:01:17.000Z,PLN-ZONI-0000001674,Planned Development,1,1
1675,1675,A(PD),91065,Res,1,Yes,NA,1,2007-08-29T08:10:47.000Z,PLN-ZONI-0000001675,Planned Development,1,1
1676,1676,A(PD),91065,Res,1,Yes,NA,1,2007-08-29T09:01:17.000Z,PLN-ZONI-0000001676,Planned Development,1,1
1677,1677,A(PD),91065,Res,1,Yes,NA,1,2007-08-29T09:45:11.000Z,PLN-ZONI-0000001677,Planned Development,1,1
1678,1678,A(PD),91065,Res,1,Yes,NA,1,2007-08-29T09:01:17.000Z,PLN-ZONI-0000001678,Planned Development,1,1
1679,1679,A(PD),91065,Res,1,Yes,NA,1,2007-08-29T09:45:11.000Z,PLN-ZONI-0000001679,Planned Development,1,1
1680,1680,A(PD),91065,Res,1,Yes,NA,1,2007-08-29T09:01:17.000Z,PLN-ZONI-0000001680,Planned Development,1,1
1681,1681,A(PD),91065,Res,1,Yes,NA,1,2007-08-29T09:45:11.000Z,PLN-ZONI-0000001681,Planned Development,1,1
1682,1682,A(PD),91065,Res,1,Yes,NA,1,2007-08-29T09:52:32.000Z,PLN-ZONI-0000001682,Planned Development,2,1
1683,1683,A(PD),91065,Res,1,Yes,NA,1,2007-08-29T09:52:32.000Z,PLN-ZONI-0000001683,Planned Development,2,1
1684,1684,A(PD),91065,Res,1,Yes,NA,1,2007-08-29T10:19:30.000Z,PLN-ZONI-0000001684,Planned Development,2,1
1685,1685,A(PD),91065,Res,1,Yes,NA,1,2007-08-29T09:36:02.000Z,PLN-ZONI-0000001685,Planned Development,1,1
1686,1686,A(PD),91065,Res,1,Yes,NA,1,2007-08-29T09:45:11.000Z,PLN-ZONI-0000001686,Planned Development,1,1
1687,1687,A(PD),91065,Res,1,Yes,NA,1,2007-08-29T10:19:30.000Z,PLN-ZONI-0000001687,Planned Development,2,1
1688,1688,A(PD),91065,Res,1,Yes,NA,1,2007-08-29T10:19:30.000Z,PLN-ZONI-0000001688,Planned Development,2,1
1689,1689,A(PD),91065,Res,1,Yes,NA,1,2007-08-31T10:48:27.000Z,PLN-ZONI-0000001689,Planned Development,2,1
1690,1690,A(PD),91065,Res,1,Yes,NA,1,2007-08-29T09:52:32.000Z,PLN-ZONI-0000001690,Planned Development,2,1
1691,1691,A(PD),91065,Res,1,Yes,NA,1,2007-08-29T10:19:30.000Z,PLN-ZONI-0000001691,Planned Development,2,1
1692,1692,A(PD),91065,Res,1,Yes,NA,1,2007-08-31T10:48:27.000Z,PLN-ZONI-0000001692,Planned Development,2,1
1693,1693,A(PD),91065,Res,1,Yes,NA,1,2007-08-29T10:18:30.000Z,PLN-ZONI-0000001693,Planned Development,2,1
1694,1694,A(PD),91065,Res,1,Yes,NA,1,2007-08-29T10:18:30.000Z,PLN-ZONI-0000001694,Planned Development,2,1
1695,1695,A(PD),91065,Res,1,Yes,NA,1,2007-08-29T10:19:30.000Z,PLN-ZONI-0000001695,Planned Development,2,1
1696,1696,A(PD),91065,Res,1,Yes,NA,1,2007-08-29T10:18:30.000Z,PLN-ZONI-0000001696,Planned Development,2,1
1697,1697,A(PD),91067,Res,8,Yes,NA,1,2007-10-11T10:58:23.000Z,PLN-ZONI-0000001697,Planned Development,1,8
1698,1698,A(PD),91067,Res,8,Yes,NA,1,2007-10-11T10:58:23.000Z,PLN-ZONI-0000001698,Planned Development,1,8
1699,1699,A(PD),91067,Res,8,Yes,NA,1,2007-10-11T10:58:23.000Z,PLN-ZONI-0000001699,Planned Development,1,8
1700,1700,A(PD),91067,Res,8,Yes,NA,1,2007-10-11T10:58:23.000Z,PLN-ZONI-0000001700,Planned Development,1,8
1701,1701,A(PD),91067,Res,8,Yes,NA,1,2007-10-11T10:58:23.000Z,PLN-ZONI-0000001701,Planned Development,1,8
1702,1702,A(PD),91067,Res,8,Yes,NA,1,2007-10-11T10:58:23.000Z,PLN-ZONI-0000001702,Planned Development,1,8
